provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
B,2020-01-01,0,0,0,0
B,2020-01-02,0,0,2,0
B,2020-01-03,0,0,3,0
B,2020-01-04,0,0,4,0
B,2020-01-05,0,0,4,0
B,2020-01-06,0,0,5,0
B,2020-01-07,0,0,5,0
B,2020-01-08,0,0,6,0
B,2020-01-09,0,0,7,0
B,2020-01-10,1,0,8,0
B,2020-01-11,1,0,8,0
B,2020-01-12,1,0,8,0
B,2020-01-13,1,0,8,0
B,2020-01-14,1,0,8,1
B,2020-01-15,1,0,9,1
B,2020-01-16,1,0,9,1
B,2020-01-17,1,0,9,1
B,2020-01-18,1,0,9,1
B,2020-01-19,1,0,9,1
B,2020-01-20,1,0,13,1
B,2020-01-21,1,0,14,1
B,2020-01-22,1,0,14,1
B,2020-01-23,1,0,15,1
B,2020-01-24,1,0,17,1
B,2020-01-25,1,0,17,1
B,2020-01-26,1,0,17,1
B,2020-01-27,1,0,18,1
B,2020-01-28,1,0,18,1
B,2020-01-29,1,0,26,1
B,2020-01-30,1,0,27,1
B,2020-01-31,1,0,30,1
B,2020-02-01,1,0,35,1
B,2020-02-02,1,0,43,1
B,2020-02-03,1,0,50,1
B,2020-02-04,1,0,53,1
B,2020-02-05,1,0,53,1
B,2020-02-06,1,0,60,1
B,2020-02-07,1,0,63,1
B,2020-02-08,1,0,65,1
B,2020-02-09,1,0,67,1
B,2020-02-10,1,0,69,1
B,2020-02-11,1,0,75,1
B,2020-02-12,2,0,79,1
B,2020-02-13,2,0,84,1
B,2020-02-14,2,0,85,1
B,2020-02-15,2,0,89,1
B,2020-02-16,2,0,93,1
B,2020-02-17,2,0,98,1
B,2020-02-18,2,0,105,1
B,2020-02-19,2,0,113,2
B,2020-02-20,2,0,123,2
B,2020-02-21,3,0,131,3
B,2020-02-22,3,0,141,4
B,2020-02-23,3,0,149,4
B,2020-02-24,3,0,153,4
B,2020-02-25,3,0,164,5
B,2020-02-26,3,0,176,5
B,2020-02-27,6,0,184,5
B,2020-02-28,7,0,193,6
B,2020-02-29,7,0,199,6
B,2020-03-01,8,0,214,6
B,2020-03-02,14,0,237,8
B,2020-03-03,23,0,251,9
B,2020-03-04,34,0,272,10
B,2020-03-05,40,0,305,10
B,2020-03-06,42,1,334,11
B,2020-03-07,45,2,355,11
B,2020-03-08,53,2,377,12
B,2020-03-09,77,3,433,18
B,2020-03-10,129,4,504,34
B,2020-03-11,211,6,591,39
B,2020-03-12,401,12,710,54
B,2020-03-13,677,24,852,68
B,2020-03-14,960,37,1033,89
B,2020-03-15,1336,44,1196,112
B,2020-03-16,1923,61,1517,153
B,2020-03-17,2579,82,1876,198
B,2020-03-18,3375,121,2321,257
B,2020-03-19,4428,171,2827,328
B,2020-03-20,5561,237,3415,379
B,2020-03-21,6551,310,3931,427
B,2020-03-22,7379,398,4393,481
B,2020-03-23,8585,520,5066,549
B,2020-03-24,10063,643,5875,627
B,2020-03-25,11525,800,6586,694
B,2020-03-26,13097,951,7290,747
B,2020-03-27,14450,1120,8054,786
B,2020-03-28,15699,1287,8626,821
B,2020-03-29,16637,1445,9087,859
B,2020-03-30,17999,1634,9747,908
B,2020-03-31,19372,1803,10362,958
B,2020-04-01,20578,1976,10851,998
B,2020-04-02,21665,2129,11311,1032
B,2020-04-03,22825,2280,11794,1066
B,2020-04-04,23668,2424,12168,1099
B,2020-04-05,24212,2556,12431,1125
B,2020-04-06,25143,2694,12832,1150
B,2020-04-07,26113,2825,13209,1177
B,2020-04-08,27070,2973,13569,1198
B,2020-04-09,28088,3108,13908,1210
B,2020-04-10,28900,3246,14203,1227
B,2020-04-11,29581,3365,14397,1235
B,2020-04-12,30044,3477,14583,1246
B,2020-04-13,30569,3587,14777,1260
B,2020-04-14,31438,3702,15005,1271
B,2020-04-15,32351,3821,15204,1285
B,2020-04-16,33288,3914,15379,1290
B,2020-04-17,34374,4030,15574,1294
B,2020-04-18,34878,4120,15672,1300
B,2020-04-19,35239,4219,15762,1302
B,2020-04-20,35887,4296,15880,1308
B,2020-04-21,36453,4383,16018,1312
B,2020-04-22,37032,4451,16117,1314
B,2020-04-23,37480,4515,16199,1319
B,2020-04-24,37915,4579,16291,1320
B,2020-04-25,38152,4646,16340,1323
B,2020-04-26,38349,4710,16376,1326
B,2020-04-27,38534,4764,16444,1327
B,2020-04-28,38846,4827,16487,1331
B,2020-04-29,39059,4887,16538,1333
B,2020-04-30,39282,4941,16596,1336
B,2020-05-01,39420,4984,16639,1337
B,2020-05-02,39535,5029,16678,1337
B,2020-05-03,39588,5079,16708,1337
B,2020-05-04,39708,5117,16741,1341
B,2020-05-05,39839,5159,16781,1343
B,2020-05-06,40020,5189,16818,1343
B,2020-05-07,40150,5225,16856,1345
B,2020-05-08,40298,5252,16888,1350
B,2020-05-09,40417,5267,16902,1350
B,2020-05-10,40482,5291,16915,1351
B,2020-05-11,40566,5318,16928,1351
B,2020-05-12,40638,5332,16941,1353
B,2020-05-13,40784,5346,16957,1354
B,2020-05-14,40947,5363,16977,1354
B,2020-05-15,41141,5378,16995,1357
B,2020-05-16,41238,5387,17004,1358
B,2020-05-17,41287,5400,17008,1359
B,2020-05-18,41478,5407,17028,1360
B,2020-05-19,41743,5418,17040,1360
B,2020-05-20,41942,5430,17055,1361
B,2020-05-21,42228,5438,17071,1363
B,2020-05-22,42591,5453,17083,1363
B,2020-05-23,42679,5463,17090,1363
B,2020-05-24,42791,5468,17099,1364
B,2020-05-25,43016,5480,17114,1365
B,2020-05-26,43232,5485,17127,1366
B,2020-05-27,43404,5491,17134,1367
B,2020-05-28,43602,5497,17145,1368
B,2020-05-29,43821,5506,17153,1368
B,2020-05-30,43915,5512,17163,1368
B,2020-05-31,43952,5518,17170,1368
B,2020-06-01,43989,5523,17181,1368
B,2020-06-02,44069,5527,17191,1368
B,2020-06-03,44213,5536,17213,1369
B,2020-06-04,44337,5543,17230,1369
B,2020-06-05,44506,5544,17253,1369
B,2020-06-06,44559,5548,17259,1370
B,2020-06-07,44591,5550,17274,1370
B,2020-06-08,44668,5557,17290,1370
B,2020-06-09,44784,5557,17308,1370
B,2020-06-10,44935,5559,17317,1372
B,2020-06-11,45043,5561,17318,1373
B,2020-06-12,45171,5561,17320,1373
B,2020-06-13,45197,5565,17324,1373
B,2020-06-14,45219,5569,17327,1373
B,2020-06-15,45271,5575,17330,1375
B,2020-06-16,45353,5576,17333,1376
B,2020-06-17,45408,5577,17337,1376
B,2020-06-18,45476,5578,17341,1376
B,2020-06-19,45554,5579,17345,1377
B,2020-06-20,45575,5581,17349,1377
B,2020-06-21,45591,5581,17350,1377
B,2020-06-22,45662,5581,17355,1378
B,2020-06-23,45764,5582,17358,1378
B,2020-06-24,45783,5583,17362,1378
B,2020-06-25,45860,5584,17366,1379
B,2020-06-26,45992,5585,17370,1379
B,2020-06-27,46015,5585,17370,1379
B,2020-06-28,46031,5586,17373,1379
B,2020-06-29,46100,5587,17377,1379
B,2020-06-30,46199,5588,17384,1380
B,2020-07-01,46317,5589,17387,1380
B,2020-07-02,46430,5590,17388,1380
B,2020-07-03,46563,5591,17396,1381
B,2020-07-04,46615,5592,17400,1382
B,2020-07-05,46639,5592,17403,1382
B,2020-07-06,46730,5592,17408,1383
B,2020-07-07,46905,5592,17420,1384
B,2020-07-08,47077,5592,17424,1384
B,2020-07-09,47290,5593,17430,1384
B,2020-07-10,47713,5593,17440,1385
B,2020-07-11,47799,5596,17450,1385
B,2020-07-12,47876,5596,17457,1386
B,2020-07-13,48192,5596,17467,1388
B,2020-07-14,48597,5596,17480,1388
B,2020-07-15,49111,5596,17497,1389
B,2020-07-16,49671,5596,17509,1389
B,2020-07-17,50485,5597,17522,1392
B,2020-07-18,50768,5597,17526,1393
B,2020-07-19,51040,5598,17543,1394
B,2020-07-20,51579,5599,17552,1394
B,2020-07-21,52482,5602,17564,1394
B,2020-07-22,53307,5603,17578,1399
B,2020-07-23,54177,5603,17598,1400
B,2020-07-24,55112,5604,17608,1400
B,2020-07-25,55487,5607,17626,1400
B,2020-07-26,55795,5611,17641,1401
B,2020-07-27,56496,5617,17661,1404
B,2020-07-28,57491,5618,17676,1404
B,2020-07-29,58564,5621,17697,1404
B,2020-07-30,59489,5626,17712,1404
B,2020-07-31,60517,5628,17739,1406
B,2020-08-01,60972,5633,17762,1411
B,2020-08-02,61206,5636,17781,1412
B,2020-08-03,61899,5637,17801,1415
B,2020-08-04,62855,5642,17822,1416
B,2020-08-05,63771,5645,17852,1420
B,2020-08-06,64673,5650,17876,1420
B,2020-08-07,65748,5652,17895,1422
B,2020-08-08,66196,5654,17924,1423
B,2020-08-09,66476,5660,17944,1424
B,2020-08-10,67291,5665,17976,1428
B,2020-08-11,68212,5670,18001,1432
B,2020-08-12,69164,5673,18025,1435
B,2020-08-13,70105,5680,18046,1435
B,2020-08-14,71117,5688,18075,1438
B,2020-08-15,71512,5695,18095,1439
B,2020-08-16,71797,5698,18110,1440
B,2020-08-17,72571,5704,18133,1442
B,2020-08-18,73608,5710,18172,1447
B,2020-08-19,74591,5716,18200,1450
B,2020-08-20,75657,5721,18221,1454
B,2020-08-21,76706,5723,18247,1455
B,2020-08-22,77101,5730,18269,1457
B,2020-08-23,77433,5738,18289,1461
B,2020-08-24,78333,5750,18326,1464
B,2020-08-25,79458,5756,18343,1466
B,2020-08-26,80641,5764,18367,1468
B,2020-08-27,81676,5771,18398,1472
B,2020-08-28,82724,5780,18432,1475
B,2020-08-29,83100,5787,18454,1478
B,2020-08-30,83434,5797,18466,1478
B,2020-08-31,84347,5803,18498,1480
B,2020-09-01,85441,5811,18535,1485
B,2020-09-02,86354,5817,18557,1487
B,2020-09-03,87326,5828,18581,1489
B,2020-09-04,88472,5838,18619,1491
B,2020-09-05,88898,5844,18644,1491
B,2020-09-06,89228,5852,18668,1493
B,2020-09-07,90042,5859,18695,1496
B,2020-09-08,91006,5864,18736,1499
B,2020-09-09,91954,5871,18766,1499
B,2020-09-10,93018,5882,18797,1501
B,2020-09-11,93405,5889,18830,1505
B,2020-09-12,93777,5892,18854,1507
B,2020-09-13,94063,5896,18879,1510
B,2020-09-14,94893,5910,18921,1511
B,2020-09-15,96078,5915,18973,1517
B,2020-09-16,97189,5922,19008,1521
B,2020-09-17,98181,5930,19036,1521
B,2020-09-18,99338,5937,19064,1528
B,2020-09-19,99759,5944,19085,1528
B,2020-09-20,100107,5947,19118,1533
B,2020-09-21,101090,5954,19146,1536
B,2020-09-22,102128,5956,19176,1543
B,2020-09-23,103212,5961,19215,1546
B,2020-09-24,103804,5966,19252,1547
B,2020-09-25,104792,5974,19279,1548
B,2020-09-26,105219,5976,19303,1549
B,2020-09-27,105488,5986,19331,1551
B,2020-09-28,106434,5996,19375,1557
B,2020-09-29,107579,6009,19413,1559
B,2020-09-30,108722,6020,19461,1565
B,2020-10-01,109933,6026,19514,1567
B,2020-10-02,111219,6030,19573,1575
B,2020-10-03,111815,6041,19606,1578
B,2020-10-04,112248,6050,19640,1579
B,2020-10-05,113513,6057,19690,1588
B,2020-10-06,115126,6068,19740,1591
B,2020-10-07,116693,6074,19792,1598
B,2020-10-08,118675,6079,19854,1603
B,2020-10-09,120894,6090,19925,1607
B,2020-10-10,121732,6099,19982,1608
B,2020-10-11,122491,6111,20045,1610
B,2020-10-12,123234,6122,20103,1613
B,2020-10-13,125556,6129,20189,1620
B,2020-10-14,128279,6138,20272,1628
B,2020-10-15,131247,6152,20344,1635
B,2020-10-16,134208,6167,20449,1645
B,2020-10-17,135607,6183,20528,1657
B,2020-10-18,136720,6200,20607,1664
B,2020-10-19,139699,6215,20723,1678
B,2020-10-20,143992,6234,20836,1687
B,2020-10-21,148388,6252,20951,1702
B,2020-10-22,152965,6273,21057,1710
B,2020-10-23,157250,6296,21178,1725
B,2020-10-24,158935,6318,21286,1732
B,2020-10-25,160380,6342,21382,1740
B,2020-10-26,164466,6377,21503,1752
B,2020-10-27,168775,6404,21665,1765
B,2020-10-28,172828,6439,21800,1775
B,2020-10-29,176423,6471,21936,1784
