provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
C,2020-01-01,0,0,0,0
C,2020-01-02,0,0,0,0
C,2020-01-03,0,0,0,0
C,2020-01-04,0,0,0,0
C,2020-01-05,0,0,0,0
C,2020-01-06,0,0,0,0
C,2020-01-07,0,0,0,0
C,2020-01-08,0,0,0,0
C,2020-01-09,0,0,0,0
C,2020-01-10,0,0,0,0
C,2020-01-11,0,0,0,1
C,2020-01-12,0,0,0,1
C,2020-01-13,0,0,0,1
C,2020-01-14,0,0,0,1
C,2020-01-15,0,0,0,1
C,2020-01-16,0,0,0,1
C,2020-01-17,0,0,0,1
C,2020-01-18,0,0,1,1
C,2020-01-19,0,0,2,2
C,2020-01-20,0,0,2,2
C,2020-01-21,1,0,2,2
C,2020-01-22,1,0,2,2
C,2020-01-23,1,0,3,2
C,2020-01-24,1,0,3,2
C,2020-01-25,1,0,3,2
C,2020-01-26,1,0,4,2
C,2020-01-27,1,0,6,2
C,2020-01-28,1,0,6,2
C,2020-01-29,1,0,6,2
C,2020-01-30,1,0,6,2
C,2020-01-31,1,0,6,2
C,2020-02-01,1,0,6,2
C,2020-02-02,1,0,6,2
C,2020-02-03,1,0,6,2
C,2020-02-04,1,0,6,2
C,2020-02-05,1,0,7,2
C,2020-02-06,1,0,8,2
C,2020-02-07,1,0,9,3
C,2020-02-08,1,0,9,3
C,2020-02-09,1,0,9,3
C,2020-02-10,1,0,9,3
C,2020-02-11,1,0,9,3
C,2020-02-12,1,0,9,3
C,2020-02-13,1,0,9,3
C,2020-02-14,1,0,10,3
C,2020-02-15,1,0,10,3
C,2020-02-16,1,0,10,3
C,2020-02-17,1,0,11,3
C,2020-02-18,1,0,11,3
C,2020-02-19,1,0,11,3
C,2020-02-20,1,0,11,3
C,2020-02-21,1,0,11,3
C,2020-02-22,1,0,11,3
C,2020-02-23,1,0,11,3
C,2020-02-24,1,0,12,3
C,2020-02-25,1,0,12,3
C,2020-02-26,1,0,13,3
C,2020-02-27,1,0,13,3
C,2020-02-28,1,0,14,3
C,2020-02-29,1,0,15,3
C,2020-03-01,1,0,16,3
C,2020-03-02,1,0,16,3
C,2020-03-03,1,0,16,3
C,2020-03-04,1,0,19,3
C,2020-03-05,1,0,20,3
C,2020-03-06,2,0,22,3
C,2020-03-07,9,0,24,4
C,2020-03-08,13,0,24,4
C,2020-03-09,21,0,28,5
C,2020-03-10,29,0,32,5
C,2020-03-11,41,0,38,5
C,2020-03-12,57,0,46,8
C,2020-03-13,81,0,53,8
C,2020-03-14,98,0,58,9
C,2020-03-15,130,0,67,11
C,2020-03-16,177,1,80,14
C,2020-03-17,225,2,111,17
C,2020-03-18,290,2,136,21
C,2020-03-19,341,3,157,26
C,2020-03-20,446,6,192,28
C,2020-03-21,544,10,242,34
C,2020-03-22,653,11,279,36
C,2020-03-23,785,13,325,40
C,2020-03-24,965,17,393,54
C,2020-03-25,1141,22,457,59
C,2020-03-26,1308,27,518,66
C,2020-03-27,1456,32,579,76
C,2020-03-28,1594,41,625,85
C,2020-03-29,1740,46,667,92
C,2020-03-30,1896,54,712,100
C,2020-03-31,2016,63,755,106
C,2020-04-01,2128,70,792,111
C,2020-04-02,2245,80,832,116
C,2020-04-03,2395,92,865,120
C,2020-04-04,2475,99,914,124
C,2020-04-05,2586,111,938,127
C,2020-04-06,2719,120,964,130
C,2020-04-07,2795,131,987,131
C,2020-04-08,2864,135,1008,133
C,2020-04-09,2941,145,1022,135
C,2020-04-10,3024,159,1041,135
C,2020-04-11,3078,168,1053,135
C,2020-04-12,3120,173,1069,141
C,2020-04-13,3197,179,1083,144
C,2020-04-14,3314,188,1101,145
C,2020-04-15,3357,196,1121,145
C,2020-04-16,3402,203,1141,148
C,2020-04-17,3438,209,1144,149
C,2020-04-18,3480,217,1153,151
C,2020-04-19,3517,221,1165,152
C,2020-04-20,3559,227,1181,152
C,2020-04-21,3588,236,1192,153
C,2020-04-22,3615,240,1202,154
C,2020-04-23,3680,242,1212,157
C,2020-04-24,3721,250,1217,157
C,2020-04-25,3753,254,1220,158
C,2020-04-26,3775,259,1226,158
C,2020-04-27,3795,265,1232,158
C,2020-04-28,3825,266,1239,161
C,2020-04-29,3853,268,1247,161
C,2020-04-30,3872,272,1254,161
C,2020-05-01,3885,272,1255,162
C,2020-05-02,3897,277,1260,163
C,2020-05-03,3909,282,1263,163
C,2020-05-04,3922,285,1273,164
C,2020-05-05,3935,289,1279,165
C,2020-05-06,3947,290,1286,165
C,2020-05-07,3965,291,1288,165
C,2020-05-08,3972,294,1290,165
C,2020-05-09,3982,294,1293,165
C,2020-05-10,3989,294,1297,165
C,2020-05-11,3992,294,1298,165
C,2020-05-12,4003,295,1299,165
C,2020-05-13,4009,296,1302,166
C,2020-05-14,4011,296,1302,167
C,2020-05-15,4015,296,1303,167
C,2020-05-16,4017,297,1304,167
C,2020-05-17,4019,298,1305,167
C,2020-05-18,4023,298,1305,167
C,2020-05-19,4030,299,1307,167
C,2020-05-20,4038,299,1309,167
C,2020-05-21,4042,300,1311,167
C,2020-05-22,4056,301,1312,167
C,2020-05-23,4061,302,1312,167
C,2020-05-24,4063,302,1312,167
C,2020-05-25,4063,302,1312,167
C,2020-05-26,4067,302,1312,167
C,2020-05-27,4068,302,1312,167
C,2020-05-28,4068,302,1313,167
C,2020-05-29,4069,303,1313,167
C,2020-05-30,4072,303,1316,167
C,2020-05-31,4072,303,1316,167
C,2020-06-01,4072,303,1316,167
C,2020-06-02,4073,303,1317,167
C,2020-06-03,4074,303,1318,167
C,2020-06-04,4074,303,1318,167
C,2020-06-05,4076,303,1318,167
C,2020-06-06,4077,303,1318,167
C,2020-06-07,4078,303,1318,167
C,2020-06-08,4078,303,1318,167
C,2020-06-09,4080,303,1318,167
C,2020-06-10,4080,303,1318,167
C,2020-06-11,4080,303,1318,167
C,2020-06-12,4082,303,1318,167
C,2020-06-13,4082,303,1318,167
C,2020-06-14,4082,303,1318,167
C,2020-06-15,4082,303,1318,167
C,2020-06-16,4082,303,1318,167
C,2020-06-17,4083,303,1318,167
C,2020-06-18,4083,303,1318,167
C,2020-06-19,4084,303,1318,167
C,2020-06-20,4086,303,1318,167
C,2020-06-21,4091,303,1318,167
C,2020-06-22,4091,303,1318,167
C,2020-06-23,4091,303,1318,167
C,2020-06-24,4091,303,1318,167
C,2020-06-25,4091,303,1318,167
C,2020-06-26,4092,303,1318,167
C,2020-06-27,4092,303,1319,167
C,2020-06-28,4093,303,1319,167
C,2020-06-29,4093,303,1319,167
C,2020-06-30,4093,303,1319,167
C,2020-07-01,4096,303,1319,167
C,2020-07-02,4097,303,1319,167
C,2020-07-03,4099,303,1319,167
C,2020-07-04,4101,303,1319,167
C,2020-07-05,4101,303,1319,167
C,2020-07-06,4101,303,1319,167
C,2020-07-07,4101,303,1319,167
C,2020-07-08,4102,303,1319,167
C,2020-07-09,4102,303,1319,167
C,2020-07-10,4103,303,1320,167
C,2020-07-11,4105,303,1321,167
C,2020-07-12,4108,303,1321,167
C,2020-07-13,4111,303,1321,167
C,2020-07-14,4113,303,1322,167
C,2020-07-15,4118,303,1323,167
C,2020-07-16,4127,303,1323,167
C,2020-07-17,4130,303,1325,167
C,2020-07-18,4134,303,1325,167
C,2020-07-19,4136,303,1325,167
C,2020-07-20,4138,303,1325,167
C,2020-07-21,4144,303,1325,167
C,2020-07-22,4147,303,1326,167
C,2020-07-23,4158,303,1328,167
C,2020-07-24,4167,303,1328,167
C,2020-07-25,4174,303,1329,167
C,2020-07-26,4181,303,1329,167
C,2020-07-27,4187,303,1329,167
C,2020-07-28,4200,303,1330,167
C,2020-07-29,4216,303,1330,167
C,2020-07-30,4232,303,1331,167
C,2020-07-31,4258,303,1332,167
C,2020-08-01,4274,303,1333,167
C,2020-08-02,4291,303,1335,168
C,2020-08-03,4305,303,1337,168
C,2020-08-04,4330,303,1338,168
C,2020-08-05,4350,303,1338,168
C,2020-08-06,4413,303,1343,168
C,2020-08-07,4484,303,1347,168
C,2020-08-08,4542,303,1348,168
C,2020-08-09,4604,304,1351,168
C,2020-08-10,4651,304,1359,168
C,2020-08-11,4734,304,1363,169
C,2020-08-12,4820,304,1372,169
C,2020-08-13,4927,304,1374,171
C,2020-08-14,5039,304,1384,171
C,2020-08-15,5147,305,1392,174
C,2020-08-16,5234,305,1403,175
C,2020-08-17,5316,305,1414,175
C,2020-08-18,5421,305,1421,176
C,2020-08-19,5548,306,1432,176
C,2020-08-20,5678,306,1444,176
C,2020-08-21,5837,308,1454,176
C,2020-08-22,5965,309,1463,177
C,2020-08-23,6096,310,1469,178
C,2020-08-24,6200,310,1481,179
C,2020-08-25,6349,310,1492,181
C,2020-08-26,6479,310,1502,181
C,2020-08-27,6624,310,1514,181
C,2020-08-28,6790,311,1522,182
C,2020-08-29,6927,313,1532,184
C,2020-08-30,7063,314,1534,185
C,2020-08-31,7178,314,1548,186
C,2020-09-01,7293,315,1559,186
C,2020-09-02,7420,316,1573,187
C,2020-09-03,7554,317,1589,188
C,2020-09-04,7662,318,1598,188
C,2020-09-05,7798,318,1604,188
C,2020-09-06,7890,319,1607,189
C,2020-09-07,7955,321,1615,192
C,2020-09-08,8061,322,1625,193
C,2020-09-09,8185,323,1636,195
C,2020-09-10,8322,323,1645,195
C,2020-09-11,8408,323,1657,195
C,2020-09-12,8484,323,1670,195
C,2020-09-13,8604,324,1674,197
