provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
CO,2020-01-01,0,0,1,0
CO,2020-01-02,0,0,1,0
CO,2020-01-03,0,0,1,0
CO,2020-01-04,0,0,1,0
CO,2020-01-05,0,0,1,0
CO,2020-01-06,0,0,1,0
CO,2020-01-07,0,0,1,0
CO,2020-01-08,0,0,1,0
CO,2020-01-09,0,0,1,0
CO,2020-01-10,0,0,1,0
CO,2020-01-11,0,0,1,0
CO,2020-01-12,0,0,1,0
CO,2020-01-13,0,0,1,0
CO,2020-01-14,0,0,1,0
CO,2020-01-15,0,0,1,0
CO,2020-01-16,0,0,1,0
CO,2020-01-17,0,0,1,0
CO,2020-01-18,0,0,1,0
CO,2020-01-19,0,0,1,0
CO,2020-01-20,0,0,1,0
CO,2020-01-21,0,0,1,0
CO,2020-01-22,0,0,1,0
CO,2020-01-23,0,0,1,0
CO,2020-01-24,0,0,1,0
CO,2020-01-25,0,0,1,0
CO,2020-01-26,0,0,1,0
CO,2020-01-27,0,0,1,0
CO,2020-01-28,0,0,1,0
CO,2020-01-29,0,0,1,0
CO,2020-01-30,0,0,1,0
CO,2020-01-31,0,0,1,0
CO,2020-02-01,0,0,1,0
CO,2020-02-02,0,0,1,0
CO,2020-02-03,0,0,1,0
CO,2020-02-04,0,0,1,0
CO,2020-02-05,0,0,1,0
CO,2020-02-06,0,0,1,0
CO,2020-02-07,0,0,1,0
CO,2020-02-08,0,0,1,0
CO,2020-02-09,0,0,1,0
CO,2020-02-10,0,0,1,0
CO,2020-02-11,0,0,1,0
CO,2020-02-12,0,0,1,0
CO,2020-02-13,0,0,1,0
CO,2020-02-14,0,0,2,0
CO,2020-02-15,0,0,2,0
CO,2020-02-16,0,0,2,0
CO,2020-02-17,0,0,2,0
CO,2020-02-18,0,0,2,0
CO,2020-02-19,0,0,2,0
CO,2020-02-20,0,0,2,0
CO,2020-02-21,0,0,2,0
CO,2020-02-22,0,0,2,0
CO,2020-02-23,0,0,3,0
CO,2020-02-24,0,0,3,0
CO,2020-02-25,0,0,3,0
CO,2020-02-26,0,0,3,0
CO,2020-02-27,0,0,3,0
CO,2020-02-28,0,0,3,0
CO,2020-02-29,0,0,3,0
CO,2020-03-01,0,0,3,0
CO,2020-03-02,0,0,3,0
CO,2020-03-03,0,0,4,0
CO,2020-03-04,0,0,5,0
CO,2020-03-05,0,0,5,0
CO,2020-03-06,0,0,5,0
CO,2020-03-07,0,0,5,0
CO,2020-03-08,0,0,6,0
CO,2020-03-09,1,0,6,0
CO,2020-03-10,2,0,8,1
CO,2020-03-11,3,0,11,2
CO,2020-03-12,9,0,14,2
CO,2020-03-13,23,0,18,3
CO,2020-03-14,44,0,20,3
CO,2020-03-15,75,0,27,4
CO,2020-03-16,85,0,35,5
CO,2020-03-17,115,0,43,8
CO,2020-03-18,130,0,53,9
CO,2020-03-19,168,2,71,12
CO,2020-03-20,192,3,86,17
CO,2020-03-21,210,5,102,19
CO,2020-03-22,237,5,118,21
CO,2020-03-23,292,7,168,24
CO,2020-03-24,357,7,199,29
CO,2020-03-25,431,8,230,35
CO,2020-03-26,462,12,275,39
CO,2020-03-27,518,14,305,42
CO,2020-03-28,609,14,323,46
CO,2020-03-29,675,21,333,47
CO,2020-03-30,698,22,355,49
CO,2020-03-31,774,26,376,50
CO,2020-04-01,862,29,396,51
CO,2020-04-02,916,35,408,52
CO,2020-04-03,983,36,423,56
CO,2020-04-04,1049,42,430,56
CO,2020-04-05,1060,44,438,57
CO,2020-04-06,1088,46,448,58
CO,2020-04-07,1108,50,460,58
CO,2020-04-08,1123,54,471,59
CO,2020-04-09,1144,56,475,62
CO,2020-04-10,1165,60,482,62
CO,2020-04-11,1183,64,488,63
CO,2020-04-12,1197,68,490,65
CO,2020-04-13,1209,72,494,66
CO,2020-04-14,1220,77,502,66
CO,2020-04-15,1225,78,503,67
CO,2020-04-16,1231,82,507,68
CO,2020-04-17,1241,86,510,68
CO,2020-04-18,1249,86,517,68
CO,2020-04-19,1257,87,518,68
CO,2020-04-20,1262,90,520,68
CO,2020-04-21,1280,92,520,69
CO,2020-04-22,1283,95,521,69
CO,2020-04-23,1297,96,524,69
CO,2020-04-24,1304,96,525,69
CO,2020-04-25,1308,97,525,69
