provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
CR,2020-01-01,0,0,0,0
CR,2020-01-02,0,0,0,0
CR,2020-01-03,0,0,0,0
CR,2020-01-04,0,0,0,0
CR,2020-01-05,0,0,0,0
CR,2020-01-06,0,0,0,0
CR,2020-01-07,0,0,0,0
CR,2020-01-08,0,0,0,0
CR,2020-01-09,0,0,0,0
CR,2020-01-10,0,0,0,0
CR,2020-01-11,0,0,0,0
CR,2020-01-12,0,0,0,0
CR,2020-01-13,0,0,0,0
CR,2020-01-14,0,0,0,0
CR,2020-01-15,0,0,0,0
CR,2020-01-16,0,0,0,0
CR,2020-01-17,0,0,0,0
CR,2020-01-18,0,0,0,0
CR,2020-01-19,0,0,0,0
CR,2020-01-20,0,0,0,0
CR,2020-01-21,0,0,0,0
CR,2020-01-22,0,0,0,0
CR,2020-01-23,0,0,0,0
CR,2020-01-24,0,0,0,0
CR,2020-01-25,0,0,0,0
CR,2020-01-26,0,0,0,0
CR,2020-01-27,0,0,0,0
CR,2020-01-28,0,0,0,0
CR,2020-01-29,0,0,0,0
CR,2020-01-30,0,0,0,0
CR,2020-01-31,0,0,0,0
CR,2020-02-01,0,0,0,0
CR,2020-02-02,0,0,0,0
CR,2020-02-03,0,0,0,0
CR,2020-02-04,0,0,0,0
CR,2020-02-05,0,0,0,0
CR,2020-02-06,0,0,0,0
CR,2020-02-07,0,0,0,0
CR,2020-02-08,0,0,0,0
CR,2020-02-09,0,0,0,0
CR,2020-02-10,0,0,0,0
CR,2020-02-11,0,0,0,0
CR,2020-02-12,0,0,0,0
CR,2020-02-13,0,0,0,0
CR,2020-02-14,0,0,0,0
CR,2020-02-15,0,0,0,0
CR,2020-02-16,0,0,0,0
CR,2020-02-17,0,0,0,0
CR,2020-02-18,0,0,0,0
CR,2020-02-19,0,0,0,0
CR,2020-02-20,0,0,0,0
CR,2020-02-21,0,0,0,0
CR,2020-02-22,0,0,0,0
CR,2020-02-23,0,0,0,0
CR,2020-02-24,0,0,1,0
CR,2020-02-25,0,0,1,1
CR,2020-02-26,0,0,1,1
CR,2020-02-27,0,0,1,1
CR,2020-02-28,0,0,1,1
CR,2020-02-29,0,0,1,1
CR,2020-03-01,0,0,1,1
CR,2020-03-02,0,0,1,1
CR,2020-03-03,0,0,2,2
CR,2020-03-04,0,1,2,2
CR,2020-03-05,0,1,2,2
CR,2020-03-06,0,1,4,3
CR,2020-03-07,1,1,7,3
CR,2020-03-08,3,1,8,3
CR,2020-03-09,10,1,19,3
CR,2020-03-10,22,1,26,4
CR,2020-03-11,31,1,36,5
CR,2020-03-12,61,1,51,6
CR,2020-03-13,99,3,80,8
CR,2020-03-14,111,6,104,8
CR,2020-03-15,143,10,141,9
CR,2020-03-16,175,15,178,12
CR,2020-03-17,236,27,214,14
CR,2020-03-18,337,37,286,16
CR,2020-03-19,464,48,368,22
CR,2020-03-20,629,67,458,28
CR,2020-03-21,789,86,555,30
CR,2020-03-22,921,99,658,36
CR,2020-03-23,1040,130,773,41
CR,2020-03-24,1287,162,946,45
CR,2020-03-25,1573,205,1083,55
CR,2020-03-26,1700,250,1233,59
CR,2020-03-27,1883,284,1367,67
CR,2020-03-28,2092,326,1471,73
CR,2020-03-29,2338,351,1565,79
CR,2020-03-30,2649,389,1697,81
CR,2020-03-31,2939,423,1819,85
CR,2020-04-01,3256,457,1923,89
CR,2020-04-02,3464,484,2014,90
CR,2020-04-03,3688,519,2082,93
CR,2020-04-04,3829,555,2135,97
CR,2020-04-05,3954,582,2193,101
CR,2020-04-06,4154,611,2285,103
CR,2020-04-07,4311,642,2335,104
CR,2020-04-08,4436,673,2375,104
CR,2020-04-09,4480,707,2402,104
CR,2020-04-10,4655,728,2437,106
CR,2020-04-11,4695,753,2464,106
CR,2020-04-12,4719,773,2493,107
CR,2020-04-13,4789,786,2528,108
CR,2020-04-14,4865,815,2564,109
CR,2020-04-15,4958,838,2595,111
CR,2020-04-16,5020,855,2620,112
CR,2020-04-17,5088,869,2644,113
CR,2020-04-18,5143,888,2655,113
CR,2020-04-19,5186,898,2674,114
CR,2020-04-20,5243,908,2697,117
CR,2020-04-21,5288,922,2715,118
CR,2020-04-22,5358,936,2733,118
CR,2020-04-23,5388,942,2742,119
CR,2020-04-24,5416,956,2753,120
CR,2020-04-25,5442,963,2768,121
CR,2020-04-26,5453,974,2772,122
CR,2020-04-27,5481,982,2784,122
CR,2020-04-28,5500,990,2794,122
CR,2020-04-29,5529,997,2803,122
CR,2020-04-30,5554,1004,2813,123
CR,2020-05-01,5567,1008,2820,124
CR,2020-05-02,5576,1012,2824,124
CR,2020-05-03,5589,1015,2832,124
CR,2020-05-04,5609,1019,2847,124
CR,2020-05-05,5629,1030,2855,126
CR,2020-05-06,5650,1032,2860,127
CR,2020-05-07,5673,1034,2866,129
CR,2020-05-08,5696,1040,2871,129
CR,2020-05-09,5710,1043,2879,130
CR,2020-05-10,5720,1050,2887,130
CR,2020-05-11,6357,1059,2892,130
CR,2020-05-12,6375,1061,2898,130
CR,2020-05-13,6405,1065,2899,130
CR,2020-05-14,6419,1069,2900,131
CR,2020-05-15,6438,1071,2905,132
CR,2020-05-16,6447,1073,2906,132
CR,2020-05-17,6454,1075,2909,132
CR,2020-05-18,6475,1076,2913,132
CR,2020-05-19,6499,1076,2914,132
CR,2020-05-20,6512,1078,2914,132
CR,2020-05-21,6523,1081,2914,132
CR,2020-05-22,6550,1085,2916,132
CR,2020-05-23,6558,1087,2916,132
CR,2020-05-24,6561,1088,2916,132
CR,2020-05-25,6576,1093,2916,132
CR,2020-05-26,6597,1093,2917,132
CR,2020-05-27,6626,1095,2919,132
CR,2020-05-28,6660,1095,2919,132
CR,2020-05-29,6679,1097,2919,132
CR,2020-05-30,6695,1102,2921,132
CR,2020-05-31,6703,1103,2921,133
CR,2020-06-01,6711,1104,2921,133
CR,2020-06-02,6726,1104,2922,133
CR,2020-06-03,6756,1104,2924,134
CR,2020-06-04,6773,1106,2924,134
CR,2020-06-05,6795,1106,2924,134
CR,2020-06-06,6804,1106,2925,134
CR,2020-06-07,6805,1106,2927,134
CR,2020-06-08,6819,1106,2931,134
CR,2020-06-09,6844,1106,2931,134
CR,2020-06-10,6861,1106,2933,134
CR,2020-06-11,6866,1106,2933,135
CR,2020-06-12,6873,1106,2935,135
CR,2020-06-13,6876,1106,2935,135
CR,2020-06-14,6878,1106,2935,135
CR,2020-06-15,6879,1106,2936,135
CR,2020-06-16,6891,1106,2938,135
CR,2020-06-17,6897,1106,2940,135
CR,2020-06-18,6906,1106,2941,135
CR,2020-06-19,6915,1106,2942,135
CR,2020-06-20,6927,1106,2943,135
CR,2020-06-21,6934,1106,2944,135
CR,2020-06-22,6939,1106,2944,135
CR,2020-06-23,6957,1106,2944,135
CR,2020-06-24,6967,1106,2946,135
CR,2020-06-25,6980,1106,2946,135
CR,2020-06-26,6988,1106,2948,135
CR,2020-06-27,7002,1106,2949,135
CR,2020-06-28,7005,1106,2949,135
CR,2020-06-29,7016,1106,2951,135
CR,2020-06-30,7023,1106,2953,135
CR,2020-07-01,7029,1106,2955,135
CR,2020-07-02,7039,1106,2956,135
CR,2020-07-03,7053,1106,2959,135
CR,2020-07-04,7059,1106,2959,135
CR,2020-07-05,7061,1106,2963,135
CR,2020-07-06,7074,1106,2965,135
CR,2020-07-07,7089,1106,2965,135
CR,2020-07-08,7102,1106,2966,136
CR,2020-07-09,7117,1106,2968,136
CR,2020-07-10,7128,1107,2971,136
CR,2020-07-11,7134,1107,2971,136
CR,2020-07-12,7141,1107,2971,136
CR,2020-07-13,7149,1107,2971,136
CR,2020-07-14,7167,1107,2973,136
CR,2020-07-15,7188,1107,2975,136
CR,2020-07-16,7201,1107,2976,136
CR,2020-07-17,7207,1107,2978,137
CR,2020-07-18,7213,1107,2978,137
CR,2020-07-19,7214,1107,2979,137
CR,2020-07-20,7217,1107,2979,137
CR,2020-07-21,7224,1107,2980,137
CR,2020-07-22,7235,1107,2980,137
CR,2020-07-23,7241,1107,2981,137
CR,2020-07-24,7250,1107,2982,137
CR,2020-07-25,7252,1107,2982,137
CR,2020-07-26,7253,1107,2982,137
CR,2020-07-27,7258,1107,2983,137
CR,2020-07-28,7276,1107,2985,137
CR,2020-07-29,7295,1107,2985,137
CR,2020-07-30,7317,1107,2986,137
CR,2020-07-31,7325,1107,2986,137
CR,2020-08-01,7345,1107,2988,137
CR,2020-08-02,7356,1107,2989,137
CR,2020-08-03,7365,1107,2990,137
CR,2020-08-04,7385,1107,2991,137
CR,2020-08-05,7415,1107,2996,137
CR,2020-08-06,7452,1107,2999,137
CR,2020-08-07,7478,1109,3002,137
CR,2020-08-08,7499,1109,3003,138
