provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
CS,2020-01-01,0,0,1,0
CS,2020-01-02,0,0,2,0
CS,2020-01-03,0,0,2,0
CS,2020-01-04,0,0,2,0
CS,2020-01-05,0,0,2,0
CS,2020-01-06,0,0,2,0
CS,2020-01-07,0,0,2,0
CS,2020-01-08,0,0,2,0
CS,2020-01-09,0,0,2,0
CS,2020-01-10,0,0,2,0
CS,2020-01-11,0,0,2,0
CS,2020-01-12,0,0,2,0
CS,2020-01-13,0,0,3,0
CS,2020-01-14,0,0,3,0
CS,2020-01-15,0,0,3,0
CS,2020-01-16,0,0,3,0
CS,2020-01-17,0,0,3,0
CS,2020-01-18,0,0,3,0
CS,2020-01-19,0,0,3,0
CS,2020-01-20,0,0,3,0
CS,2020-01-21,0,0,3,0
CS,2020-01-22,0,0,3,0
CS,2020-01-23,0,0,3,0
CS,2020-01-24,0,0,3,0
CS,2020-01-25,0,0,3,0
CS,2020-01-26,0,0,3,0
CS,2020-01-27,0,0,3,0
CS,2020-01-28,0,0,3,0
CS,2020-01-29,0,0,3,0
CS,2020-01-30,0,0,3,0
CS,2020-01-31,0,0,3,0
CS,2020-02-01,0,0,3,0
CS,2020-02-02,0,0,3,0
CS,2020-02-03,0,0,3,0
CS,2020-02-04,0,0,3,0
CS,2020-02-05,0,0,3,0
CS,2020-02-06,0,0,3,0
CS,2020-02-07,0,0,3,0
CS,2020-02-08,0,0,3,0
CS,2020-02-09,0,0,3,0
CS,2020-02-10,0,0,3,0
CS,2020-02-11,0,0,3,0
CS,2020-02-12,0,0,3,0
CS,2020-02-13,0,0,3,0
CS,2020-02-14,0,0,3,0
CS,2020-02-15,0,0,3,0
CS,2020-02-16,0,0,3,0
CS,2020-02-17,0,0,3,0
CS,2020-02-18,0,0,3,0
CS,2020-02-19,0,0,3,0
CS,2020-02-20,0,0,4,0
CS,2020-02-21,0,0,4,0
CS,2020-02-22,0,0,4,0
CS,2020-02-23,0,0,4,0
CS,2020-02-24,0,0,4,0
CS,2020-02-25,0,0,4,0
CS,2020-02-26,1,0,5,0
CS,2020-02-27,1,0,5,0
CS,2020-02-28,1,0,5,0
CS,2020-02-29,1,0,5,0
CS,2020-03-01,1,0,6,0
CS,2020-03-02,1,0,6,0
CS,2020-03-03,1,0,6,0
CS,2020-03-04,1,0,6,0
CS,2020-03-05,3,0,8,0
CS,2020-03-06,3,0,8,0
CS,2020-03-07,3,0,9,1
CS,2020-03-08,4,0,10,1
CS,2020-03-09,4,0,10,1
CS,2020-03-10,6,0,12,1
CS,2020-03-11,7,0,14,1
CS,2020-03-12,8,0,17,2
CS,2020-03-13,16,0,19,2
CS,2020-03-14,26,0,26,2
CS,2020-03-15,33,0,29,3
CS,2020-03-16,45,1,34,4
CS,2020-03-17,64,1,49,6
CS,2020-03-18,78,2,63,7
CS,2020-03-19,112,2,78,9
CS,2020-03-20,148,6,104,14
CS,2020-03-21,186,6,122,19
CS,2020-03-22,216,9,142,26
CS,2020-03-23,272,11,183,35
CS,2020-03-24,329,14,230,38
CS,2020-03-25,398,18,271,43
CS,2020-03-26,434,24,319,49
CS,2020-03-27,507,31,351,54
CS,2020-03-28,582,36,375,59
CS,2020-03-29,624,46,400,60
CS,2020-03-30,663,50,431,65
CS,2020-03-31,713,57,443,66
CS,2020-04-01,763,63,466,67
CS,2020-04-02,809,69,492,70
CS,2020-04-03,856,77,506,71
CS,2020-04-04,904,84,514,72
CS,2020-04-05,924,92,530,73
CS,2020-04-06,942,99,543,75
CS,2020-04-07,972,109,566,75
CS,2020-04-08,1045,114,585,75
CS,2020-04-09,1110,116,601,77
CS,2020-04-10,1154,123,615,77
CS,2020-04-11,1178,132,622,78
CS,2020-04-12,1204,137,629,79
CS,2020-04-13,1227,144,636,79
CS,2020-04-14,1255,151,638,80
CS,2020-04-15,1294,156,644,80
CS,2020-04-16,1313,157,655,81
CS,2020-04-17,1337,162,657,81
CS,2020-04-18,1345,163,664,81
CS,2020-04-19,1351,167,666,81
CS,2020-04-20,1359,172,670,81
CS,2020-04-21,1369,172,672,81
CS,2020-04-22,1374,176,673,81
CS,2020-04-23,1389,180,677,82
CS,2020-04-24,1400,184,678,82
CS,2020-04-25,1405,186,678,82
CS,2020-04-26,1408,189,680,82
CS,2020-04-27,1419,191,683,82
CS,2020-04-28,1425,195,684,82
CS,2020-04-29,1439,196,686,82
CS,2020-04-30,1448,198,686,82
CS,2020-05-01,1450,199,686,82
CS,2020-05-02,1457,203,686,82
CS,2020-05-03,1457,205,689,82
CS,2020-05-04,1463,207,692,82
CS,2020-05-05,1468,208,692,82
CS,2020-05-06,1469,209,693,82
CS,2020-05-07,1476,209,694,82
CS,2020-05-08,1481,209,695,82
CS,2020-05-09,1484,210,695,82
CS,2020-05-10,1484,212,695,82
CS,2020-05-11,1490,213,695,82
CS,2020-05-12,1493,213,696,82
CS,2020-05-13,1497,215,696,82
CS,2020-05-14,1501,217,697,82
CS,2020-05-15,1510,217,697,82
CS,2020-05-16,1512,218,699,82
CS,2020-05-17,1514,218,700,82
CS,2020-05-18,1518,218,700,82
CS,2020-05-19,1522,219,700,82
CS,2020-05-20,1526,219,700,82
CS,2020-05-21,1528,221,700,82
CS,2020-05-22,1529,222,700,82
CS,2020-05-23,1532,222,700,82
CS,2020-05-24,1535,222,701,82
CS,2020-05-25,1542,222,701,82
CS,2020-05-26,1546,223,702,82
CS,2020-05-27,1550,224,702,82
CS,2020-05-28,1556,225,702,82
CS,2020-05-29,1562,226,702,82
CS,2020-05-30,1563,226,702,82
CS,2020-05-31,1566,226,702,82
CS,2020-06-01,1568,226,702,82
CS,2020-06-02,1569,226,703,82
CS,2020-06-03,1573,226,703,82
CS,2020-06-04,1580,227,703,82
CS,2020-06-05,1584,227,704,82
CS,2020-06-06,1584,227,704,82
CS,2020-06-07,1584,227,704,82
CS,2020-06-08,1584,227,704,82
CS,2020-06-09,1588,227,704,82
CS,2020-06-10,1591,227,704,82
CS,2020-06-11,1592,227,704,82
CS,2020-06-12,1594,227,704,82
CS,2020-06-13,1594,227,704,82
CS,2020-06-14,1594,228,705,82
CS,2020-06-15,1595,228,705,82
CS,2020-06-16,1596,228,705,82
CS,2020-06-17,1598,228,705,82
CS,2020-06-18,1600,228,706,82
CS,2020-06-19,1600,228,706,82
CS,2020-06-20,1600,228,706,82
CS,2020-06-21,1601,228,706,82
CS,2020-06-22,1603,228,706,82
CS,2020-06-23,1603,228,706,82
CS,2020-06-24,1604,228,706,82
CS,2020-06-25,1606,228,706,82
CS,2020-06-26,1607,228,707,82
CS,2020-06-27,1612,228,707,82
CS,2020-06-28,1624,228,707,82
CS,2020-06-29,1624,228,707,82
CS,2020-06-30,1632,228,707,82
CS,2020-07-01,1634,228,707,82
CS,2020-07-02,1634,228,707,82
CS,2020-07-03,1639,228,707,82
CS,2020-07-04,1639,228,707,82
CS,2020-07-05,1640,228,707,82
CS,2020-07-06,1644,228,708,82
CS,2020-07-07,1647,228,709,82
CS,2020-07-08,1650,228,709,82
CS,2020-07-09,1654,228,709,82
CS,2020-07-10,1658,228,709,83
CS,2020-07-11,1666,228,711,83
CS,2020-07-12,1668,228,711,83
CS,2020-07-13,1671,228,711,83
CS,2020-07-14,1672,228,711,83
CS,2020-07-15,1676,228,711,83
CS,2020-07-16,1677,228,711,83
CS,2020-07-17,1683,228,711,83
CS,2020-07-18,1691,228,711,83
CS,2020-07-19,1702,228,711,83
CS,2020-07-20,1719,228,711,83
CS,2020-07-21,1751,228,712,83
CS,2020-07-22,1778,228,712,83
CS,2020-07-23,1794,228,712,83
CS,2020-07-24,1819,228,712,83
CS,2020-07-25,1836,228,713,83
CS,2020-07-26,1840,228,713,83
CS,2020-07-27,1849,228,714,83
CS,2020-07-28,1854,228,714,83
CS,2020-07-29,1862,228,715,83
CS,2020-07-30,1874,228,715,83
CS,2020-07-31,1892,228,715,83
CS,2020-08-01,1901,228,716,83
CS,2020-08-02,1904,228,716,83
CS,2020-08-03,1914,228,716,83
CS,2020-08-04,1921,228,716,83
CS,2020-08-05,1930,228,717,83
CS,2020-08-06,1944,228,718,83
CS,2020-08-07,1960,228,718,83
CS,2020-08-08,1976,228,718,83
CS,2020-08-09,1984,228,718,83
CS,2020-08-10,2001,228,718,83
CS,2020-08-11,2024,228,720,83
CS,2020-08-12,2061,228,722,83
CS,2020-08-13,2082,228,722,83
CS,2020-08-14,2105,228,724,83
CS,2020-08-15,2123,228,725,83
CS,2020-08-16,2136,228,726,83
CS,2020-08-17,2153,228,728,83
CS,2020-08-18,2175,228,730,85
CS,2020-08-19,2219,228,733,85
CS,2020-08-20,2256,228,736,86
CS,2020-08-21,2307,228,738,86
CS,2020-08-22,2396,228,741,86
CS,2020-08-23,2419,228,742,86
CS,2020-08-24,2451,228,749,86
CS,2020-08-25,2516,228,754,86
CS,2020-08-26,2592,228,756,86
CS,2020-08-27,2682,228,759,88
CS,2020-08-28,2748,228,764,89
CS,2020-08-29,2840,228,768,90
CS,2020-08-30,2873,230,769,90
CS,2020-08-31,2908,231,772,90
CS,2020-09-01,2961,231,777,91
CS,2020-09-02,3044,231,783,91
CS,2020-09-03,3114,231,791,92
CS,2020-09-04,3192,231,796,93
CS,2020-09-05,3251,231,799,93
CS,2020-09-06,3275,231,803,95
CS,2020-09-07,3314,232,807,96
CS,2020-09-08,3382,232,808,97
CS,2020-09-09,3474,232,812,98
CS,2020-09-10,3521,233,816,98
CS,2020-09-11,3598,233,821,99
CS,2020-09-12,3643,233,827,101
CS,2020-09-13,3679,234,831,102
CS,2020-09-14,3715,234,848,104
CS,2020-09-15,3765,235,852,105
CS,2020-09-16,3828,237,855,105
CS,2020-09-17,3870,238,860,108
CS,2020-09-18,3954,239,868,111
CS,2020-09-19,3991,239,872,112
CS,2020-09-20,4022,239,878,112
CS,2020-09-21,4056,239,886,113
CS,2020-09-22,4121,242,888,113
CS,2020-09-23,4179,243,892,113
CS,2020-09-24,4242,243,898,115
CS,2020-09-25,4323,243,901,116
CS,2020-09-26,4386,244,905,116
CS,2020-09-27,4413,244,907,116
CS,2020-09-28,4450,244,912,118
CS,2020-09-29,4515,246,918,118
CS,2020-09-30,4598,248,923,120
CS,2020-10-01,4666,248,927,120
CS,2020-10-02,4719,248,932,120
CS,2020-10-03,4760,248,934,120
CS,2020-10-04,4792,248,938,121
CS,2020-10-05,4826,248,944,122
CS,2020-10-06,4873,249,947,123
CS,2020-10-07,4936,250,951,123
CS,2020-10-08,4990,250,954,123
CS,2020-10-09,5059,250,957,123
CS,2020-10-10,5092,250,960,123
CS,2020-10-11,5141,250,961,123
CS,2020-10-12,5162,251,966,123
CS,2020-10-13,5205,252,971,123
CS,2020-10-14,5319,253,977,124
