provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
GI,2020-01-01,0,0,1,0
GI,2020-01-02,0,0,1,0
GI,2020-01-03,0,0,1,0
GI,2020-01-04,0,0,1,0
GI,2020-01-05,0,0,1,0
GI,2020-01-06,0,0,1,0
GI,2020-01-07,0,0,1,0
GI,2020-01-08,0,0,1,0
GI,2020-01-09,0,0,2,0
GI,2020-01-10,0,0,2,0
GI,2020-01-11,0,0,2,0
GI,2020-01-12,0,0,2,0
GI,2020-01-13,0,0,2,0
GI,2020-01-14,0,0,3,0
GI,2020-01-15,0,0,4,0
GI,2020-01-16,0,0,4,0
GI,2020-01-17,0,0,4,0
GI,2020-01-18,0,0,4,0
GI,2020-01-19,0,0,5,0
GI,2020-01-20,0,0,5,0
GI,2020-01-21,0,0,5,1
GI,2020-01-22,0,0,5,1
GI,2020-01-23,0,0,5,1
GI,2020-01-24,0,0,5,1
GI,2020-01-25,0,0,5,1
GI,2020-01-26,0,0,5,1
GI,2020-01-27,0,0,5,1
GI,2020-01-28,0,0,5,1
GI,2020-01-29,0,0,5,1
GI,2020-01-30,0,0,5,1
GI,2020-01-31,0,0,6,1
GI,2020-02-01,0,0,6,1
GI,2020-02-02,0,0,6,1
GI,2020-02-03,0,0,7,1
GI,2020-02-04,0,0,7,1
GI,2020-02-05,0,0,8,1
GI,2020-02-06,0,0,8,1
GI,2020-02-07,0,0,8,1
GI,2020-02-08,0,0,8,1
GI,2020-02-09,0,0,8,1
GI,2020-02-10,0,0,9,1
GI,2020-02-11,0,0,10,1
GI,2020-02-12,0,0,11,1
GI,2020-02-13,0,0,12,1
GI,2020-02-14,0,0,12,1
GI,2020-02-15,0,0,12,1
GI,2020-02-16,0,0,12,1
GI,2020-02-17,0,0,12,1
GI,2020-02-18,0,0,13,1
GI,2020-02-19,0,0,13,1
GI,2020-02-20,0,0,14,1
GI,2020-02-21,0,0,14,1
GI,2020-02-22,0,0,14,1
GI,2020-02-23,0,0,14,1
GI,2020-02-24,0,0,15,1
GI,2020-02-25,0,0,15,1
GI,2020-02-26,0,0,16,1
GI,2020-02-27,0,0,18,1
GI,2020-02-28,1,0,18,1
GI,2020-02-29,1,0,19,1
GI,2020-03-01,2,0,21,1
GI,2020-03-02,3,0,24,1
GI,2020-03-03,3,0,26,1
GI,2020-03-04,3,0,29,2
GI,2020-03-05,3,0,32,2
GI,2020-03-06,5,0,34,2
GI,2020-03-07,5,0,35,2
GI,2020-03-08,5,0,37,2
GI,2020-03-09,6,0,41,2
GI,2020-03-10,9,0,42,2
GI,2020-03-11,15,0,48,2
GI,2020-03-12,19,0,51,3
GI,2020-03-13,43,0,58,3
GI,2020-03-14,63,0,64,4
GI,2020-03-15,90,0,72,4
GI,2020-03-16,113,0,76,4
GI,2020-03-17,153,2,85,5
GI,2020-03-18,210,2,95,7
GI,2020-03-19,276,3,112,8
GI,2020-03-20,392,8,130,10
GI,2020-03-21,461,14,156,10
GI,2020-03-22,539,21,176,14
GI,2020-03-23,642,31,206,18
GI,2020-03-24,767,36,230,21
GI,2020-03-25,891,47,259,24
GI,2020-03-26,1024,55,294,25
GI,2020-03-27,1153,68,332,28
GI,2020-03-28,1235,79,349,32
GI,2020-03-29,1297,95,367,34
GI,2020-03-30,1411,106,386,38
GI,2020-03-31,1510,115,397,40
GI,2020-04-01,1599,129,422,42
GI,2020-04-02,1727,142,446,44
GI,2020-04-03,1834,156,471,46
GI,2020-04-04,1898,171,486,46
GI,2020-04-05,1946,179,503,47
GI,2020-04-06,2074,193,518,48
GI,2020-04-07,2146,209,539,50
GI,2020-04-08,2212,220,549,50
GI,2020-04-09,2297,233,573,50
GI,2020-04-10,2353,240,586,54
GI,2020-04-11,2414,250,604,54
GI,2020-04-12,2452,264,621,55
GI,2020-04-13,2483,271,636,57
GI,2020-04-14,2542,278,653,58
GI,2020-04-15,2610,286,665,58
GI,2020-04-16,2703,294,681,59
GI,2020-04-17,2769,309,690,59
GI,2020-04-18,2846,323,698,60
GI,2020-04-19,2870,326,708,61
GI,2020-04-20,2943,332,719,61
GI,2020-04-21,3070,335,727,62
GI,2020-04-22,3193,345,734,64
GI,2020-04-23,3297,348,747,66
GI,2020-04-24,3384,353,764,66
GI,2020-04-25,3405,361,768,66
GI,2020-04-26,3422,373,775,67
GI,2020-04-27,3442,377,785,69
GI,2020-04-28,3468,384,787,69
GI,2020-04-29,3504,390,791,70
GI,2020-04-30,3520,395,798,70
GI,2020-05-01,3537,399,802,70
GI,2020-05-02,3542,405,807,70
GI,2020-05-03,3552,415,809,70
GI,2020-05-04,3573,419,814,71
GI,2020-05-05,3588,425,818,71
GI,2020-05-06,3595,428,819,71
GI,2020-05-07,3610,435,820,71
GI,2020-05-08,3632,436,822,71
