provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
H,2020-01-01,0,0,0,0
H,2020-01-02,0,0,0,0
H,2020-01-03,0,0,1,0
H,2020-01-04,0,0,1,0
H,2020-01-05,0,0,1,0
H,2020-01-06,0,0,1,0
H,2020-01-07,0,0,1,0
H,2020-01-08,0,0,1,0
H,2020-01-09,0,0,1,0
H,2020-01-10,0,0,1,0
H,2020-01-11,0,0,1,0
H,2020-01-12,0,0,1,0
H,2020-01-13,0,0,2,0
H,2020-01-14,0,0,2,0
H,2020-01-15,0,0,2,0
H,2020-01-16,0,0,2,0
H,2020-01-17,0,0,2,0
H,2020-01-18,0,0,2,0
H,2020-01-19,0,0,2,0
H,2020-01-20,0,0,2,0
H,2020-01-21,0,0,2,0
H,2020-01-22,0,0,2,0
H,2020-01-23,0,0,2,0
H,2020-01-24,0,0,2,0
H,2020-01-25,0,0,2,0
H,2020-01-26,0,0,2,0
H,2020-01-27,0,0,2,0
H,2020-01-28,0,0,2,0
H,2020-01-29,0,0,2,0
H,2020-01-30,0,0,2,0
H,2020-01-31,0,0,2,0
H,2020-02-01,0,0,2,0
H,2020-02-02,0,0,2,0
H,2020-02-03,0,0,2,0
H,2020-02-04,0,0,2,0
H,2020-02-05,0,0,2,0
H,2020-02-06,0,0,2,0
H,2020-02-07,0,0,2,0
H,2020-02-08,0,0,2,0
H,2020-02-09,0,0,2,0
H,2020-02-10,0,0,2,0
H,2020-02-11,0,0,3,0
H,2020-02-12,0,0,3,0
H,2020-02-13,0,0,3,0
H,2020-02-14,0,0,3,0
H,2020-02-15,0,0,4,0
H,2020-02-16,0,0,4,0
H,2020-02-17,0,0,4,0
H,2020-02-18,0,0,4,0
H,2020-02-19,0,0,4,0
H,2020-02-20,0,0,4,0
H,2020-02-21,0,0,4,0
H,2020-02-22,0,0,4,0
H,2020-02-23,0,0,4,0
H,2020-02-24,0,0,4,0
H,2020-02-25,0,0,4,0
H,2020-02-26,0,0,4,0
H,2020-02-27,0,0,4,0
H,2020-02-28,0,0,4,0
H,2020-02-29,0,0,4,0
H,2020-03-01,0,0,4,0
H,2020-03-02,0,0,5,0
H,2020-03-03,0,0,5,0
H,2020-03-04,0,0,5,0
H,2020-03-05,0,0,5,0
H,2020-03-06,0,0,5,0
H,2020-03-07,0,0,5,0
H,2020-03-08,0,0,5,0
H,2020-03-09,1,0,5,0
H,2020-03-10,1,0,5,0
H,2020-03-11,1,0,6,0
H,2020-03-12,2,0,6,0
H,2020-03-13,4,0,6,0
H,2020-03-14,7,0,8,0
H,2020-03-15,8,0,8,0
H,2020-03-16,11,0,16,0
H,2020-03-17,28,0,24,0
H,2020-03-18,35,0,27,1
H,2020-03-19,42,0,34,3
H,2020-03-20,50,0,40,3
H,2020-03-21,58,1,51,5
H,2020-03-22,75,1,54,8
H,2020-03-23,85,2,59,9
H,2020-03-24,100,2,71,10
H,2020-03-25,118,2,87,13
H,2020-03-26,138,4,100,16
H,2020-03-27,173,6,114,17
H,2020-03-28,197,7,120,19
H,2020-03-29,205,8,130,21
H,2020-03-30,221,9,145,22
H,2020-03-31,239,13,149,24
H,2020-04-01,262,13,156,25
H,2020-04-02,279,14,168,27
H,2020-04-03,291,14,169,28
H,2020-04-04,302,17,173,28
H,2020-04-05,306,21,177,28
H,2020-04-06,311,22,180,28
H,2020-04-07,318,22,184,29
H,2020-04-08,329,23,189,30
H,2020-04-09,337,24,192,30
H,2020-04-10,339,29,198,30
H,2020-04-11,346,29,199,31
H,2020-04-12,349,30,199,31
H,2020-04-13,352,30,201,31
H,2020-04-14,359,31,204,31
H,2020-04-15,365,33,206,31
H,2020-04-16,369,33,210,31
H,2020-04-17,377,34,213,31
H,2020-04-18,384,34,216,31
H,2020-04-19,385,35,216,31
H,2020-04-20,385,36,216,31
H,2020-04-21,387,36,220,32
H,2020-04-22,392,38,220,32
H,2020-04-23,393,40,220,32
H,2020-04-24,397,41,222,32
