provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
L,2020-01-01,0,0,0,0
L,2020-01-02,0,0,0,0
L,2020-01-03,0,0,0,0
L,2020-01-04,0,0,1,0
L,2020-01-05,0,0,1,0
L,2020-01-06,0,0,1,0
L,2020-01-07,0,0,2,0
L,2020-01-08,0,0,2,0
L,2020-01-09,0,0,2,0
L,2020-01-10,0,0,2,0
L,2020-01-11,0,0,2,0
L,2020-01-12,0,0,2,0
L,2020-01-13,0,0,2,0
L,2020-01-14,0,0,2,0
L,2020-01-15,0,0,2,0
L,2020-01-16,0,0,2,0
L,2020-01-17,0,0,2,0
L,2020-01-18,0,0,2,0
L,2020-01-19,0,0,2,0
L,2020-01-20,0,0,2,0
L,2020-01-21,0,0,2,0
L,2020-01-22,0,0,2,0
L,2020-01-23,0,0,2,0
L,2020-01-24,0,0,2,0
L,2020-01-25,0,0,2,0
L,2020-01-26,0,0,2,0
L,2020-01-27,0,0,2,0
L,2020-01-28,0,0,2,0
L,2020-01-29,0,0,2,0
L,2020-01-30,0,0,2,0
L,2020-01-31,0,0,2,0
L,2020-02-01,0,0,2,0
L,2020-02-02,0,0,2,0
L,2020-02-03,0,0,2,0
L,2020-02-04,0,0,2,0
L,2020-02-05,0,0,2,0
L,2020-02-06,0,0,2,0
L,2020-02-07,0,0,2,0
L,2020-02-08,0,0,2,0
L,2020-02-09,0,0,2,0
L,2020-02-10,0,0,3,0
L,2020-02-11,0,0,3,0
L,2020-02-12,1,0,3,0
L,2020-02-13,1,0,3,0
L,2020-02-14,1,0,3,0
L,2020-02-15,1,0,3,0
L,2020-02-16,1,0,4,0
L,2020-02-17,1,0,4,0
L,2020-02-18,1,0,4,0
L,2020-02-19,1,0,4,0
L,2020-02-20,1,0,5,0
L,2020-02-21,1,0,5,0
L,2020-02-22,1,0,5,0
L,2020-02-23,1,0,5,0
L,2020-02-24,1,0,5,0
L,2020-02-25,1,0,5,0
L,2020-02-26,1,0,5,0
L,2020-02-27,1,0,5,0
L,2020-02-28,1,0,5,0
L,2020-02-29,1,0,5,0
L,2020-03-01,1,0,6,1
L,2020-03-02,1,0,7,1
L,2020-03-03,1,0,7,1
L,2020-03-04,1,0,8,1
L,2020-03-05,1,0,9,1
L,2020-03-06,1,0,9,1
L,2020-03-07,1,0,9,1
L,2020-03-08,1,0,10,1
L,2020-03-09,1,0,11,1
L,2020-03-10,2,0,14,1
L,2020-03-11,5,0,15,1
L,2020-03-12,18,0,15,1
L,2020-03-13,33,0,16,2
L,2020-03-14,37,0,17,2
L,2020-03-15,42,0,17,2
L,2020-03-16,49,1,17,2
L,2020-03-17,74,1,19,2
L,2020-03-18,103,1,21,2
L,2020-03-19,137,2,26,2
L,2020-03-20,181,2,31,5
L,2020-03-21,217,2,32,5
L,2020-03-22,239,2,36,6
L,2020-03-23,291,3,43,7
L,2020-03-24,373,4,51,7
L,2020-03-25,468,4,61,9
L,2020-03-26,532,7,65,9
L,2020-03-27,618,10,75,11
L,2020-03-28,660,12,80,11
L,2020-03-29,721,17,86,11
L,2020-03-30,785,19,103,12
L,2020-03-31,876,25,114,12
L,2020-04-01,934,33,122,12
L,2020-04-02,989,35,131,14
L,2020-04-03,1042,39,149,14
L,2020-04-04,1068,40,153,14
L,2020-04-05,1090,42,161,14
L,2020-04-06,1119,47,171,15
L,2020-04-07,1190,49,183,17
L,2020-04-08,1250,51,200,17
L,2020-04-09,1313,53,214,21
L,2020-04-10,1357,56,221,22
L,2020-04-11,1381,59,223,22
L,2020-04-12,1407,60,227,23
L,2020-04-13,1447,62,237,24
L,2020-04-14,1484,65,243,28
L,2020-04-15,1530,65,251,28
L,2020-04-16,1565,67,257,29
L,2020-04-17,1591,67,262,31
L,2020-04-18,1624,70,266,31
L,2020-04-19,1633,70,268,32
L,2020-04-20,1639,72,273,32
L,2020-04-21,1692,74,277,32
L,2020-04-22,1723,77,281,32
L,2020-04-23,1737,82,286,33
L,2020-04-24,1743,86,292,34
L,2020-04-25,1747,86,295,35
L,2020-04-26,1749,87,295,36
L,2020-04-27,1759,89,301,38
L,2020-04-28,1769,92,301,39
L,2020-04-29,1771,92,301,39
L,2020-04-30,1781,92,302,39
L,2020-05-01,1785,95,303,39
L,2020-05-02,1789,95,303,39
L,2020-05-03,1791,97,304,39
L,2020-05-04,1803,98,305,39
L,2020-05-05,1807,99,307,39
L,2020-05-06,1809,99,308,40
L,2020-05-07,1815,99,309,41
L,2020-05-08,1820,99,310,41
L,2020-05-09,1822,99,311,41
L,2020-05-10,1828,99,311,41
L,2020-05-11,1831,99,311,41
L,2020-05-12,1832,99,312,41
L,2020-05-13,1840,99,312,41
L,2020-05-14,1854,100,312,41
L,2020-05-15,1878,100,315,42
L,2020-05-16,1885,100,318,42
L,2020-05-17,1894,101,319,42
L,2020-05-18,1909,101,319,43
L,2020-05-19,1944,101,319,43
L,2020-05-20,1969,102,319,43
L,2020-05-21,2008,103,320,43
L,2020-05-22,2037,104,322,43
L,2020-05-23,2050,105,322,43
L,2020-05-24,2095,106,323,43
L,2020-05-25,2112,106,323,44
L,2020-05-26,2143,107,325,44
L,2020-05-27,2168,108,325,44
L,2020-05-28,2193,108,327,44
L,2020-05-29,2225,108,327,44
L,2020-05-30,2241,108,327,44
L,2020-05-31,2251,108,328,44
L,2020-06-01,2266,108,329,44
L,2020-06-02,2291,108,331,44
L,2020-06-03,2309,108,331,44
L,2020-06-04,2336,108,331,44
L,2020-06-05,2402,108,332,44
L,2020-06-06,2418,108,332,44
L,2020-06-07,2425,108,332,44
L,2020-06-08,2437,108,333,44
L,2020-06-09,2457,108,334,44
L,2020-06-10,2480,108,335,44
L,2020-06-11,2496,108,335,44
L,2020-06-12,2525,108,335,44
L,2020-06-13,2534,108,335,44
L,2020-06-14,2543,108,336,44
L,2020-06-15,2569,108,336,44
L,2020-06-16,2593,108,337,44
L,2020-06-17,2616,109,338,44
L,2020-06-18,2648,109,338,44
L,2020-06-19,2681,109,338,44
L,2020-06-20,2711,109,338,44
L,2020-06-21,2724,109,340,44
L,2020-06-22,2744,110,340,44
L,2020-06-23,2799,110,340,44
