provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
LO,2020-01-01,0,0,0,0
LO,2020-01-02,0,0,0,0
LO,2020-01-03,0,0,0,0
LO,2020-01-04,0,0,0,0
LO,2020-01-05,0,0,0,0
LO,2020-01-06,0,0,0,0
LO,2020-01-07,0,0,0,0
LO,2020-01-08,0,0,0,0
LO,2020-01-09,1,0,0,0
LO,2020-01-10,1,0,0,0
LO,2020-01-11,1,0,0,0
LO,2020-01-12,1,0,0,0
LO,2020-01-13,1,0,0,0
LO,2020-01-14,1,0,0,0
LO,2020-01-15,1,0,0,0
LO,2020-01-16,1,0,0,0
LO,2020-01-17,1,0,0,0
LO,2020-01-18,1,0,0,0
LO,2020-01-19,1,0,0,0
LO,2020-01-20,1,0,0,0
LO,2020-01-21,1,0,0,0
LO,2020-01-22,1,0,0,0
LO,2020-01-23,1,0,0,0
LO,2020-01-24,1,0,0,0
LO,2020-01-25,1,0,0,0
LO,2020-01-26,1,0,0,0
LO,2020-01-27,1,0,0,0
LO,2020-01-28,1,0,0,0
LO,2020-01-29,1,0,0,0
LO,2020-01-30,1,0,0,0
LO,2020-01-31,1,0,0,0
LO,2020-02-01,1,0,0,0
LO,2020-02-02,1,0,0,0
LO,2020-02-03,1,0,0,0
LO,2020-02-04,1,0,0,0
LO,2020-02-05,1,0,0,0
LO,2020-02-06,1,0,0,0
LO,2020-02-07,1,0,0,0
LO,2020-02-08,1,0,0,0
LO,2020-02-09,1,0,0,0
LO,2020-02-10,1,0,0,0
LO,2020-02-11,1,0,0,0
LO,2020-02-12,1,0,0,0
LO,2020-02-13,1,0,1,0
LO,2020-02-14,1,0,1,0
LO,2020-02-15,1,0,1,0
LO,2020-02-16,1,0,1,0
LO,2020-02-17,1,0,1,0
LO,2020-02-18,1,0,1,0
LO,2020-02-19,1,0,2,0
LO,2020-02-20,1,0,2,0
LO,2020-02-21,1,0,2,0
LO,2020-02-22,1,0,2,0
LO,2020-02-23,3,0,2,0
LO,2020-02-24,3,0,2,0
LO,2020-02-25,3,0,2,0
LO,2020-02-26,4,0,2,0
LO,2020-02-27,4,0,2,0
LO,2020-02-28,4,0,2,0
LO,2020-02-29,5,0,3,0
LO,2020-03-01,5,0,3,0
LO,2020-03-02,5,0,4,0
LO,2020-03-03,10,0,6,0
LO,2020-03-04,21,0,8,0
LO,2020-03-05,35,0,10,0
LO,2020-03-06,70,0,12,1
LO,2020-03-07,99,0,16,1
LO,2020-03-08,121,0,17,1
LO,2020-03-09,160,1,20,1
LO,2020-03-10,182,2,24,1
LO,2020-03-11,223,2,27,2
LO,2020-03-12,258,2,42,4
LO,2020-03-13,294,3,52,5
LO,2020-03-14,314,3,65,9
LO,2020-03-15,352,4,78,14
LO,2020-03-16,394,6,97,16
LO,2020-03-17,464,6,114,16
LO,2020-03-18,510,6,139,16
LO,2020-03-19,578,10,171,19
LO,2020-03-20,652,22,205,23
LO,2020-03-21,737,31,230,28
LO,2020-03-22,799,31,248,32
LO,2020-03-23,908,40,275,35
LO,2020-03-24,1081,46,312,41
LO,2020-03-25,1278,59,359,45
LO,2020-03-26,1456,68,413,47
LO,2020-03-27,1606,74,465,50
LO,2020-03-28,1732,79,502,52
LO,2020-03-29,1820,86,530,53
LO,2020-03-30,1956,96,552,55
LO,2020-03-31,2142,109,593,59
LO,2020-04-01,2285,115,626,63
LO,2020-04-02,2424,130,660,65
LO,2020-04-03,2642,146,702,65
LO,2020-04-04,2741,157,736,65
LO,2020-04-05,2827,168,757,65
LO,2020-04-06,2929,182,782,68
LO,2020-04-07,3023,197,807,69
LO,2020-04-08,3104,212,829,69
LO,2020-04-09,3197,219,853,71
LO,2020-04-10,3295,228,876,71
LO,2020-04-11,3357,232,886,71
LO,2020-04-12,3386,237,894,71
LO,2020-04-13,3438,249,908,71
LO,2020-04-14,3493,260,920,71
LO,2020-04-15,3550,268,935,71
LO,2020-04-16,3602,276,949,73
LO,2020-04-17,3649,284,965,74
LO,2020-04-18,3668,289,973,75
LO,2020-04-19,3682,297,977,75
LO,2020-04-20,3708,300,984,75
LO,2020-04-21,3749,305,990,76
LO,2020-04-22,3796,310,996,76
LO,2020-04-23,3827,312,998,76
LO,2020-04-24,3846,317,1003,76
LO,2020-04-25,3864,320,1004,76
LO,2020-04-26,3869,325,1005,76
LO,2020-04-27,3877,329,1010,77
LO,2020-04-28,3894,330,1019,77
LO,2020-04-29,3913,332,1021,77
LO,2020-04-30,3921,333,1023,77
LO,2020-05-01,3923,333,1023,77
LO,2020-05-02,3925,334,1024,77
LO,2020-05-03,3926,335,1026,77
LO,2020-05-04,3936,336,1026,77
LO,2020-05-05,3944,337,1027,77
LO,2020-05-06,3953,339,1029,77
LO,2020-05-07,3958,343,1032,77
LO,2020-05-08,3958,345,1032,77
LO,2020-05-09,3958,347,1032,77
LO,2020-05-10,3959,348,1032,77
LO,2020-05-11,3959,349,1033,77
LO,2020-05-12,3963,349,1033,77
LO,2020-05-13,3968,349,1033,77
LO,2020-05-14,3970,349,1033,77
LO,2020-05-15,3977,350,1035,77
LO,2020-05-16,3978,352,1035,77
LO,2020-05-17,3978,353,1035,77
LO,2020-05-18,3985,354,1037,77
LO,2020-05-19,3988,357,1037,77
LO,2020-05-20,3988,357,1037,77
LO,2020-05-21,3991,360,1037,77
LO,2020-05-22,3992,361,1037,77
LO,2020-05-23,3992,362,1037,77
LO,2020-05-24,3993,362,1038,77
LO,2020-05-25,3996,362,1039,77
LO,2020-05-26,3996,362,1039,77
LO,2020-05-27,3996,362,1040,77
LO,2020-05-28,4000,362,1040,77
LO,2020-05-29,4003,362,1040,77
LO,2020-05-30,4003,363,1040,77
LO,2020-05-31,4003,363,1040,77
LO,2020-06-01,4004,363,1040,77
LO,2020-06-02,4005,363,1040,77
LO,2020-06-03,4006,364,1040,77
LO,2020-06-04,4009,364,1040,77
LO,2020-06-05,4009,365,1041,77
LO,2020-06-06,4013,365,1041,77
LO,2020-06-07,4014,365,1042,77
LO,2020-06-08,4014,365,1042,77
LO,2020-06-09,4015,365,1042,77
LO,2020-06-10,4015,365,1043,77
LO,2020-06-11,4018,365,1044,77
LO,2020-06-12,4019,365,1044,77
LO,2020-06-13,4020,365,1044,77
LO,2020-06-14,4021,365,1044,77
LO,2020-06-15,4021,365,1044,77
LO,2020-06-16,4022,365,1044,77
LO,2020-06-17,4022,365,1044,77
LO,2020-06-18,4024,365,1044,77
LO,2020-06-19,4025,365,1044,77
LO,2020-06-20,4025,365,1044,77
LO,2020-06-21,4025,365,1044,77
LO,2020-06-22,4025,366,1044,77
LO,2020-06-23,4025,366,1044,77
LO,2020-06-24,4027,367,1044,77
LO,2020-06-25,4029,367,1044,77
LO,2020-06-26,4029,368,1044,77
LO,2020-06-27,4029,368,1044,77
LO,2020-06-28,4029,368,1044,77
LO,2020-06-29,4029,368,1044,77
LO,2020-06-30,4030,368,1045,77
LO,2020-07-01,4031,368,1045,77
LO,2020-07-02,4031,368,1045,77
LO,2020-07-03,4031,368,1045,77
LO,2020-07-04,4031,369,1045,77
LO,2020-07-05,4031,369,1045,77
LO,2020-07-06,4031,369,1045,77
LO,2020-07-07,4032,369,1045,77
LO,2020-07-08,4033,369,1045,77
LO,2020-07-09,4034,369,1045,77
LO,2020-07-10,4049,369,1045,77
LO,2020-07-11,4052,369,1045,77
LO,2020-07-12,4055,369,1046,77
LO,2020-07-13,4057,369,1047,77
LO,2020-07-14,4061,369,1047,77
LO,2020-07-15,4062,369,1047,77
LO,2020-07-16,4064,369,1047,77
LO,2020-07-17,4072,369,1047,77
LO,2020-07-18,4075,369,1047,77
LO,2020-07-19,4075,369,1047,77
LO,2020-07-20,4081,369,1047,77
LO,2020-07-21,4107,369,1047,77
LO,2020-07-22,4119,369,1048,77
LO,2020-07-23,4121,369,1048,77
LO,2020-07-24,4134,369,1048,77
LO,2020-07-25,4134,369,1048,77
LO,2020-07-26,4134,369,1048,77
LO,2020-07-27,4137,369,1048,77
LO,2020-07-28,4142,369,1048,77
LO,2020-07-29,4145,369,1048,77
LO,2020-07-30,4150,369,1048,77
LO,2020-07-31,4158,369,1049,77
LO,2020-08-01,4158,369,1049,77
LO,2020-08-02,4158,369,1051,77
LO,2020-08-03,4167,369,1052,77
LO,2020-08-04,4170,369,1052,77
LO,2020-08-05,4178,369,1052,77
LO,2020-08-06,4194,369,1053,77
LO,2020-08-07,4209,369,1053,77
LO,2020-08-08,4219,369,1053,77
LO,2020-08-09,4232,369,1056,77
LO,2020-08-10,4263,369,1056,77
LO,2020-08-11,4297,369,1056,77
LO,2020-08-12,4338,369,1058,77
LO,2020-08-13,4391,369,1058,77
LO,2020-08-14,4471,369,1059,77
LO,2020-08-15,4529,369,1061,77
LO,2020-08-16,4567,369,1062,77
LO,2020-08-17,4625,370,1065,77
LO,2020-08-18,4689,370,1068,78
LO,2020-08-19,4747,370,1072,79
LO,2020-08-20,4815,370,1079,80
LO,2020-08-21,4870,371,1082,80
LO,2020-08-22,4934,371,1089,80
LO,2020-08-23,5008,371,1097,80
LO,2020-08-24,5063,372,1100,80
LO,2020-08-25,5156,372,1102,80
LO,2020-08-26,5245,372,1110,80
LO,2020-08-27,5323,372,1117,83
LO,2020-08-28,5419,372,1130,84
LO,2020-08-29,5579,374,1142,84
LO,2020-08-30,5678,374,1150,85
LO,2020-08-31,5719,375,1156,86
LO,2020-09-01,5811,376,1165,87
LO,2020-09-02,5871,376,1174,89
LO,2020-09-03,5960,377,1180,90
LO,2020-09-04,6055,377,1188,91
LO,2020-09-05,6141,379,1197,91
LO,2020-09-06,6215,380,1203,93
LO,2020-09-07,6311,382,1214,94
LO,2020-09-08,6349,383,1224,94
LO,2020-09-09,6438,385,1229,95
LO,2020-09-10,6490,387,1236,95
LO,2020-09-11,6604,387,1247,95
LO,2020-09-12,6733,387,1260,96
LO,2020-09-13,6853,387,1271,97
LO,2020-09-14,6926,390,1282,101
LO,2020-09-15,6996,392,1288,102
LO,2020-09-16,7163,395,1298,105
LO,2020-09-17,7288,396,1308,107
LO,2020-09-18,7434,397,1312,107
LO,2020-09-19,7551,401,1320,107
LO,2020-09-20,7684,404,1324,108
LO,2020-09-21,7715,408,1332,109
LO,2020-09-22,7798,410,1347,109
LO,2020-09-23,7908,411,1354,110
LO,2020-09-24,8044,412,1361,110
LO,2020-09-25,8153,413,1364,112
LO,2020-09-26,8222,414,1372,113
LO,2020-09-27,8309,416,1374,113
LO,2020-09-28,8393,418,1378,113
LO,2020-09-29,8459,420,1387,113
LO,2020-09-30,8572,424,1399,114
LO,2020-10-01,8654,424,1406,115
LO,2020-10-02,8714,426,1416,116
LO,2020-10-03,8813,426,1420,117
LO,2020-10-04,8865,428,1425,117
LO,2020-10-05,8938,428,1432,117
LO,2020-10-06,9054,428,1439,120
LO,2020-10-07,9172,428,1446,121
LO,2020-10-08,9260,429,1454,124
LO,2020-10-09,9390,431,1464,124
LO,2020-10-10,9468,432,1472,125
LO,2020-10-11,9549,433,1478,127
LO,2020-10-12,9635,434,1490,129
LO,2020-10-13,9812,438,1502,131
LO,2020-10-14,9950,438,1512,133
LO,2020-10-15,10104,439,1528,134
LO,2020-10-16,10301,439,1535,136
LO,2020-10-17,10423,441,1547,136
LO,2020-10-18,10519,441,1564,140
LO,2020-10-19,10659,442,1573,142
LO,2020-10-20,10847,443,1594,144
LO,2020-10-21,11096,443,1611,145
LO,2020-10-22,11288,444,1632,146
LO,2020-10-23,11502,448,1646,149
LO,2020-10-24,11629,451,1659,150
LO,2020-10-25,11741,456,1670,151
LO,2020-10-26,11883,457,1693,153
LO,2020-10-27,12064,459,1712,155
LO,2020-10-28,12300,461,1728,156
LO,2020-10-29,12487,466,1748,160
LO,2020-10-30,12719,469,1762,164
LO,2020-10-31,12881,471,1775,167
LO,2020-11-01,12977,473,1794,168
LO,2020-11-02,13091,474,1812,170
LO,2020-11-03,13304,477,1831,172
LO,2020-11-04,13599,481,1849,174
LO,2020-11-05,13844,484,1870,176
LO,2020-11-06,14078,488,1885,178
LO,2020-11-07,14197,491,1896,179
LO,2020-11-08,14299,494,1908,180
LO,2020-11-09,14417,495,1922,182
LO,2020-11-10,14585,500,1947,182
LO,2020-11-11,14769,504,1956,183
LO,2020-11-12,14939,506,1971,185
LO,2020-11-13,15130,508,1998,186
LO,2020-11-14,15217,511,2015,188
LO,2020-11-15,15279,514,2026,190
LO,2020-11-16,15357,517,2036,192
LO,2020-11-17,15510,520,2047,192
LO,2020-11-18,15640,522,2056,193
LO,2020-11-19,15748,525,2064,193
LO,2020-11-20,15865,528,2076,196
LO,2020-11-21,15936,529,2086,197
LO,2020-11-22,16013,529,2088,197
LO,2020-11-23,16065,532,2095,197
LO,2020-11-24,16177,537,2103,201
LO,2020-11-25,16271,542,2114,203
LO,2020-11-26,16336,542,2132,204
LO,2020-11-27,16459,546,2138,204
LO,2020-11-28,16525,548,2143,205
LO,2020-11-29,16581,549,2151,206
LO,2020-11-30,16615,551,2157,206
LO,2020-12-01,16701,554,2171,207
LO,2020-12-02,16747,558,2179,207
LO,2020-12-03,16788,559,2184,209
LO,2020-12-04,16842,562,2188,209
LO,2020-12-05,16890,565,2193,210
LO,2020-12-06,16938,568,2195,212
LO,2020-12-07,16952,569,2199,212
