provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
M,2020-01-01,0,0,1,0
M,2020-01-02,0,0,4,1
M,2020-01-03,0,0,7,2
M,2020-01-04,0,0,7,2
M,2020-01-05,0,0,7,2
M,2020-01-06,0,0,7,2
M,2020-01-07,0,0,10,2
M,2020-01-08,0,0,11,2
M,2020-01-09,0,0,12,2
M,2020-01-10,0,0,14,2
M,2020-01-11,0,0,14,2
M,2020-01-12,0,0,14,2
M,2020-01-13,0,0,16,2
M,2020-01-14,0,0,21,2
M,2020-01-15,0,0,26,3
M,2020-01-16,0,0,29,3
M,2020-01-17,0,0,31,3
M,2020-01-18,1,0,34,3
M,2020-01-19,1,0,34,3
M,2020-01-20,1,0,35,3
M,2020-01-21,1,0,38,3
M,2020-01-22,1,0,39,3
M,2020-01-23,1,0,43,3
M,2020-01-24,1,0,47,4
M,2020-01-25,1,0,48,4
M,2020-01-26,1,0,49,4
M,2020-01-27,1,0,49,4
M,2020-01-28,1,0,52,4
M,2020-01-29,1,0,54,4
M,2020-01-30,1,0,59,4
M,2020-01-31,1,0,62,4
M,2020-02-01,1,0,64,4
M,2020-02-02,1,0,70,4
M,2020-02-03,1,0,74,4
M,2020-02-04,1,0,78,4
M,2020-02-05,1,0,82,5
M,2020-02-06,1,0,87,5
M,2020-02-07,1,0,92,6
M,2020-02-08,1,0,95,6
M,2020-02-09,1,0,98,6
M,2020-02-10,1,0,104,7
M,2020-02-11,1,0,110,9
M,2020-02-12,2,0,119,9
M,2020-02-13,2,0,127,9
M,2020-02-14,2,0,132,9
M,2020-02-15,2,0,135,11
M,2020-02-16,2,0,137,11
M,2020-02-17,2,0,145,14
M,2020-02-18,2,0,158,15
M,2020-02-19,2,0,172,16
M,2020-02-20,2,0,187,16
M,2020-02-21,2,0,205,16
M,2020-02-22,2,0,213,17
M,2020-02-23,2,0,221,18
M,2020-02-24,3,0,239,22
M,2020-02-25,3,0,256,23
M,2020-02-26,7,0,281,26
M,2020-02-27,10,0,305,28
M,2020-02-28,16,0,333,31
M,2020-02-29,22,0,355,31
M,2020-03-01,45,0,388,34
M,2020-03-02,84,0,453,41
M,2020-03-03,123,1,540,47
M,2020-03-04,180,1,640,53
M,2020-03-05,296,2,776,71
M,2020-03-06,463,4,937,88
M,2020-03-07,643,5,1126,105
M,2020-03-08,863,15,1351,132
M,2020-03-09,1294,25,1703,162
M,2020-03-10,1954,50,2115,196
M,2020-03-11,2790,75,2659,243
M,2020-03-12,3765,114,3242,294
M,2020-03-13,4654,162,3828,370
M,2020-03-14,5553,226,4465,436
M,2020-03-15,6369,305,5165,502
M,2020-03-16,7783,415,6237,585
M,2020-03-17,9850,523,7456,696
M,2020-03-18,11699,640,8995,820
M,2020-03-19,14077,797,10539,940
M,2020-03-20,16387,1007,12230,1059
M,2020-03-21,18328,1244,13534,1167
M,2020-03-22,20006,1479,14773,1279
M,2020-03-23,22887,1755,16705,1414
M,2020-03-24,26215,2042,18560,1539
M,2020-03-25,29431,2335,20391,1660
M,2020-03-26,32683,2633,22085,1761
M,2020-03-27,35029,2967,23559,1861
M,2020-03-28,36276,3242,24468,1933
M,2020-03-29,37163,3487,25145,1997
M,2020-03-30,39442,3724,26384,2073
M,2020-03-31,41344,3973,27342,2146
M,2020-04-01,42936,4237,28355,2233
M,2020-04-02,44865,4492,29296,2295
M,2020-04-03,46722,4675,30179,2355
M,2020-04-04,47601,4820,30787,2407
M,2020-04-05,48198,5014,31256,2445
M,2020-04-06,49786,5206,31948,2494
M,2020-04-07,51141,5375,32662,2526
M,2020-04-08,52540,5553,33291,2573
M,2020-04-09,53465,5677,33786,2595
M,2020-04-10,54421,5836,34232,2622
M,2020-04-11,55054,5976,34600,2651
M,2020-04-12,55460,6101,34867,2674
M,2020-04-13,56397,6243,35264,2708
M,2020-04-14,57419,6379,35669,2734
M,2020-04-15,58266,6506,35970,2758
M,2020-04-16,59087,6619,36278,2775
M,2020-04-17,59929,6725,36540,2798
M,2020-04-18,60453,6820,36733,2807
M,2020-04-19,60684,6918,36898,2824
M,2020-04-20,61359,7018,37108,2842
M,2020-04-21,61999,7116,37290,2857
M,2020-04-22,62744,7200,37433,2874
M,2020-04-23,63241,7281,37600,2895
M,2020-04-24,63839,7362,37741,2909
M,2020-04-25,64094,7427,37828,2913
M,2020-04-26,64245,7485,37877,2921
