provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
MU,2020-01-01,0,0,0,0
MU,2020-01-02,0,0,0,0
MU,2020-01-03,0,0,0,0
MU,2020-01-04,0,0,0,0
MU,2020-01-05,0,0,0,0
MU,2020-01-06,0,0,0,0
MU,2020-01-07,0,0,0,0
MU,2020-01-08,0,0,0,0
MU,2020-01-09,0,0,1,0
MU,2020-01-10,0,0,1,0
MU,2020-01-11,0,0,1,0
MU,2020-01-12,0,0,1,0
MU,2020-01-13,0,0,1,0
MU,2020-01-14,0,0,1,0
MU,2020-01-15,0,0,1,0
MU,2020-01-16,0,0,1,0
MU,2020-01-17,0,0,1,0
MU,2020-01-18,0,0,1,0
MU,2020-01-19,0,0,1,0
MU,2020-01-20,0,0,1,0
MU,2020-01-21,0,0,1,0
MU,2020-01-22,0,0,1,0
MU,2020-01-23,0,0,1,0
MU,2020-01-24,0,0,1,0
MU,2020-01-25,0,0,1,0
MU,2020-01-26,0,0,1,0
MU,2020-01-27,0,0,1,0
MU,2020-01-28,0,0,1,0
MU,2020-01-29,0,0,1,0
MU,2020-01-30,0,0,2,0
MU,2020-01-31,0,0,3,0
MU,2020-02-01,0,0,3,0
MU,2020-02-02,0,0,3,0
MU,2020-02-03,0,0,3,0
MU,2020-02-04,0,0,3,0
MU,2020-02-05,0,0,3,0
MU,2020-02-06,0,0,3,0
MU,2020-02-07,0,0,3,0
MU,2020-02-08,0,0,3,0
MU,2020-02-09,0,0,3,0
MU,2020-02-10,0,0,3,0
MU,2020-02-11,0,0,4,0
MU,2020-02-12,0,0,5,0
MU,2020-02-13,0,0,6,0
MU,2020-02-14,0,0,8,0
MU,2020-02-15,0,0,8,0
MU,2020-02-16,0,0,8,0
MU,2020-02-17,0,0,8,0
MU,2020-02-18,0,0,8,0
MU,2020-02-19,0,0,9,0
MU,2020-02-20,0,0,9,0
MU,2020-02-21,0,0,9,0
MU,2020-02-22,0,0,10,0
MU,2020-02-23,0,0,11,0
MU,2020-02-24,0,0,12,0
MU,2020-02-25,0,0,13,0
MU,2020-02-26,0,0,13,0
MU,2020-02-27,0,0,13,1
MU,2020-02-28,0,0,13,1
MU,2020-02-29,0,0,13,1
MU,2020-03-01,0,0,13,1
MU,2020-03-02,0,0,14,1
MU,2020-03-03,0,0,14,1
MU,2020-03-04,0,0,14,1
MU,2020-03-05,0,0,14,1
MU,2020-03-06,0,0,15,1
MU,2020-03-07,0,0,16,1
MU,2020-03-08,2,0,20,1
MU,2020-03-09,6,0,21,1
MU,2020-03-10,10,0,23,1
MU,2020-03-11,23,0,28,2
MU,2020-03-12,35,0,30,2
MU,2020-03-13,46,0,36,3
MU,2020-03-14,71,0,42,3
MU,2020-03-15,91,0,47,6
MU,2020-03-16,112,0,57,7
MU,2020-03-17,154,0,67,8
MU,2020-03-18,192,0,83,13
MU,2020-03-19,228,0,101,15
MU,2020-03-20,277,1,136,16
MU,2020-03-21,336,1,150,22
MU,2020-03-22,370,3,177,29
MU,2020-03-23,437,3,209,32
MU,2020-03-24,581,7,231,41
MU,2020-03-25,665,10,277,53
MU,2020-03-26,766,19,311,62
MU,2020-03-27,844,25,342,68
MU,2020-03-28,912,31,377,70
MU,2020-03-29,962,40,405,73
MU,2020-03-30,1018,43,442,76
MU,2020-03-31,1071,49,458,79
MU,2020-04-01,1107,53,479,83
MU,2020-04-02,1171,60,491,85
MU,2020-04-03,1215,67,525,89
MU,2020-04-04,1261,72,547,91
MU,2020-04-05,1280,86,559,92
MU,2020-04-06,1314,91,573,94
MU,2020-04-07,1345,95,581,95
MU,2020-04-08,1373,101,592,95
MU,2020-04-09,1411,103,598,96
MU,2020-04-10,1424,106,602,97
MU,2020-04-11,1435,109,613,100
MU,2020-04-12,1445,112,621,103
MU,2020-04-13,1458,114,628,103
MU,2020-04-14,1481,117,631,103
MU,2020-04-15,1494,117,636,104
MU,2020-04-16,1499,119,642,105
MU,2020-04-17,1506,123,643,106
MU,2020-04-18,1515,124,645,106
MU,2020-04-19,1515,126,647,107
MU,2020-04-20,1523,126,649,107
MU,2020-04-21,1531,128,650,108
MU,2020-04-22,1535,129,650,108
MU,2020-04-23,1546,130,653,108
MU,2020-04-24,1554,131,656,110
MU,2020-04-25,1556,132,657,110
MU,2020-04-26,1557,134,657,110
MU,2020-04-27,1564,134,660,110
MU,2020-04-28,1571,134,660,110
MU,2020-04-29,1580,134,661,111
MU,2020-04-30,1584,136,667,112
MU,2020-05-01,1586,137,667,112
MU,2020-05-02,1587,140,669,112
MU,2020-05-03,1587,140,669,112
MU,2020-05-04,1594,140,671,112
MU,2020-05-05,1604,141,674,113
MU,2020-05-06,1610,141,677,113
MU,2020-05-07,1615,142,677,113
MU,2020-05-08,1624,142,677,113
MU,2020-05-09,1625,142,677,113
MU,2020-05-10,1629,142,677,113
MU,2020-05-11,1632,142,678,113
MU,2020-05-12,1640,143,679,113
MU,2020-05-13,1646,143,683,113
MU,2020-05-14,1657,144,683,113
MU,2020-05-15,1662,144,684,113
MU,2020-05-16,1663,144,684,113
MU,2020-05-17,1667,145,687,113
MU,2020-05-18,1670,145,687,113
MU,2020-05-19,1675,145,687,113
MU,2020-05-20,1680,145,688,113
MU,2020-05-21,1682,146,689,113
MU,2020-05-22,1685,146,689,113
MU,2020-05-23,1688,146,689,113
MU,2020-05-24,1694,146,689,113
MU,2020-05-25,1694,146,689,113
MU,2020-05-26,1697,146,689,113
MU,2020-05-27,1701,146,689,113
MU,2020-05-28,1705,146,692,113
MU,2020-05-29,1707,146,692,113
MU,2020-05-30,1708,146,692,113
MU,2020-05-31,1708,146,693,113
MU,2020-06-01,1712,146,693,113
MU,2020-06-02,1715,146,693,113
MU,2020-06-03,1720,146,694,113
MU,2020-06-04,1722,146,694,113
MU,2020-06-05,1724,146,694,113
MU,2020-06-06,1725,146,694,113
MU,2020-06-07,1726,146,694,113
MU,2020-06-08,1730,147,694,113
MU,2020-06-09,1732,147,694,113
MU,2020-06-10,1733,147,694,113
MU,2020-06-11,1734,147,694,113
MU,2020-06-12,1734,147,694,113
MU,2020-06-13,1735,147,694,113
MU,2020-06-14,1735,147,694,113
MU,2020-06-15,1736,147,694,113
MU,2020-06-16,1738,147,694,113
MU,2020-06-17,1741,147,694,113
MU,2020-06-18,1746,147,694,113
MU,2020-06-19,1750,147,695,113
MU,2020-06-20,1754,147,696,113
MU,2020-06-21,1758,147,696,113
MU,2020-06-22,1759,147,696,113
MU,2020-06-23,1761,147,697,113
MU,2020-06-24,1764,147,697,113
MU,2020-06-25,1768,147,697,113
MU,2020-06-26,1776,147,698,113
MU,2020-06-27,1782,147,699,113
MU,2020-06-28,1786,147,700,113
MU,2020-06-29,1790,147,702,113
MU,2020-06-30,1798,147,703,113
MU,2020-07-01,1801,148,703,113
MU,2020-07-02,1807,148,703,113
MU,2020-07-03,1810,148,704,114
MU,2020-07-04,1813,148,704,114
MU,2020-07-05,1815,148,704,114
MU,2020-07-06,1818,148,705,114
MU,2020-07-07,1826,148,707,115
MU,2020-07-08,1837,148,707,115
MU,2020-07-09,1842,148,707,115
MU,2020-07-10,1851,148,707,115
MU,2020-07-11,1870,148,708,115
MU,2020-07-12,1879,148,709,115
MU,2020-07-13,1883,148,709,115
MU,2020-07-14,1887,148,709,115
MU,2020-07-15,1892,148,711,115
MU,2020-07-16,1911,148,715,116
MU,2020-07-17,1934,148,716,116
MU,2020-07-18,1949,148,716,116
MU,2020-07-19,1978,148,718,116
MU,2020-07-20,1990,148,719,116
MU,2020-07-21,2021,148,719,116
MU,2020-07-22,2093,148,719,116
MU,2020-07-23,2164,148,721,116
MU,2020-07-24,2231,148,724,116
MU,2020-07-25,2305,148,725,116
MU,2020-07-26,2348,148,729,116
MU,2020-07-27,2382,148,730,116
MU,2020-07-28,2435,148,735,116
