provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
O,2020-01-01,0,0,0,0
O,2020-01-02,0,0,0,0
O,2020-01-03,0,0,0,0
O,2020-01-04,0,0,0,0
O,2020-01-05,0,0,0,0
O,2020-01-06,0,0,0,0
O,2020-01-07,0,0,0,0
O,2020-01-08,0,0,0,0
O,2020-01-09,0,0,0,0
O,2020-01-10,0,0,0,0
O,2020-01-11,0,0,0,0
O,2020-01-12,0,0,0,0
O,2020-01-13,0,0,0,0
O,2020-01-14,0,0,0,0
O,2020-01-15,0,0,0,0
O,2020-01-16,0,0,0,0
O,2020-01-17,0,0,0,0
O,2020-01-18,0,0,0,0
O,2020-01-19,0,0,0,0
O,2020-01-20,0,0,1,0
O,2020-01-21,0,0,1,0
O,2020-01-22,0,0,1,0
O,2020-01-23,0,0,1,0
O,2020-01-24,0,0,1,0
O,2020-01-25,0,0,1,0
O,2020-01-26,0,0,1,0
O,2020-01-27,0,0,1,0
O,2020-01-28,0,0,1,0
O,2020-01-29,0,0,1,0
O,2020-01-30,0,0,2,0
O,2020-01-31,0,0,2,0
O,2020-02-01,0,0,2,0
O,2020-02-02,0,0,2,0
O,2020-02-03,0,0,2,0
O,2020-02-04,0,0,2,0
O,2020-02-05,0,0,2,0
O,2020-02-06,0,0,2,0
O,2020-02-07,0,0,2,0
O,2020-02-08,0,0,2,0
O,2020-02-09,0,0,2,0
O,2020-02-10,0,0,3,0
O,2020-02-11,0,0,3,0
O,2020-02-12,0,0,3,0
O,2020-02-13,0,0,3,0
O,2020-02-14,0,0,3,0
O,2020-02-15,0,0,3,0
O,2020-02-16,0,0,3,0
O,2020-02-17,0,0,5,0
O,2020-02-18,0,0,5,0
O,2020-02-19,0,0,5,0
O,2020-02-20,0,0,5,0
O,2020-02-21,0,0,5,0
O,2020-02-22,0,0,5,0
O,2020-02-23,0,0,5,0
O,2020-02-24,0,0,5,0
O,2020-02-25,0,0,6,1
O,2020-02-26,0,0,6,1
O,2020-02-27,0,0,6,1
O,2020-02-28,0,0,6,1
O,2020-02-29,1,0,8,2
O,2020-03-01,1,0,9,2
O,2020-03-02,1,0,10,2
O,2020-03-03,3,0,11,2
O,2020-03-04,5,0,11,2
O,2020-03-05,5,0,12,2
O,2020-03-06,8,0,17,2
O,2020-03-07,9,0,17,2
O,2020-03-08,11,0,19,2
O,2020-03-09,16,0,22,2
O,2020-03-10,33,0,28,3
O,2020-03-11,38,0,31,3
O,2020-03-12,41,1,38,3
O,2020-03-13,87,1,44,4
O,2020-03-14,126,1,51,4
O,2020-03-15,163,1,56,4
O,2020-03-16,228,1,67,7
O,2020-03-17,273,1,87,10
O,2020-03-18,314,1,111,12
O,2020-03-19,433,3,140,15
O,2020-03-20,528,6,169,20
O,2020-03-21,577,11,202,24
O,2020-03-22,629,21,232,27
O,2020-03-23,762,25,268,32
O,2020-03-24,820,28,304,41
O,2020-03-25,900,28,347,51
O,2020-03-26,969,38,392,60
O,2020-03-27,1046,43,457,62
O,2020-03-28,1152,46,494,67
O,2020-03-29,1216,58,528,71
O,2020-03-30,1305,65,559,78
O,2020-03-31,1377,74,602,86
O,2020-04-01,1445,75,618,90
O,2020-04-02,1514,79,650,91
O,2020-04-03,1586,82,679,93
O,2020-04-04,1640,86,696,96
O,2020-04-05,1695,92,712,97
O,2020-04-06,1717,100,736,99
O,2020-04-07,1746,106,765,100
O,2020-04-08,1792,112,788,103
O,2020-04-09,1840,128,816,104
O,2020-04-10,1883,133,844,104
O,2020-04-11,1965,150,870,107
O,2020-04-12,2017,157,894,109
O,2020-04-13,2047,165,915,113
O,2020-04-14,2106,173,931,115
O,2020-04-15,2128,177,942,116
O,2020-04-16,2181,187,955,117
O,2020-04-17,2205,191,998,117
O,2020-04-18,2222,198,1010,118
O,2020-04-19,2232,200,1015,119
O,2020-04-20,2239,204,1022,121
O,2020-04-21,2249,212,1028,121
O,2020-04-22,2260,223,1036,122
O,2020-04-23,2264,229,1038,124
O,2020-04-24,2268,236,1044,124
O,2020-04-25,2280,244,1050,124
O,2020-04-26,2282,249,1053,124
O,2020-04-27,2288,253,1061,124
O,2020-04-28,2303,260,1071,124
O,2020-04-29,2314,264,1075,124
O,2020-04-30,2329,265,1077,125
O,2020-05-01,2330,271,1080,127
O,2020-05-02,2332,271,1083,127
O,2020-05-03,2334,275,1085,127
O,2020-05-04,2335,276,1087,127
O,2020-05-05,2340,279,1092,127
O,2020-05-06,2349,280,1094,129
O,2020-05-07,2357,281,1095,129
O,2020-05-08,2363,281,1096,129
O,2020-05-09,2365,284,1097,129
O,2020-05-10,2369,289,1099,129
O,2020-05-11,2371,292,1100,129
O,2020-05-12,2375,294,1100,129
O,2020-05-13,2376,295,1100,129
O,2020-05-14,2383,300,1100,129
O,2020-05-15,2385,301,1102,129
O,2020-05-16,2385,301,1102,129
O,2020-05-17,2389,304,1104,129
O,2020-05-18,2392,306,1106,129
O,2020-05-19,2393,308,1106,129
O,2020-05-20,2393,310,1107,129
O,2020-05-21,2394,311,1107,129
O,2020-05-22,2394,311,1107,129
O,2020-05-23,2396,312,1107,129
O,2020-05-24,2398,312,1107,129
O,2020-05-25,2398,312,1107,129
O,2020-05-26,2398,313,1107,129
O,2020-05-27,2399,314,1108,129
O,2020-05-28,2401,314,1108,129
O,2020-05-29,2421,314,1109,129
O,2020-05-30,2423,321,1114,129
O,2020-05-31,2425,322,1114,129
O,2020-06-01,2425,322,1114,129
O,2020-06-02,2425,322,1114,129
O,2020-06-03,2425,323,1115,129
O,2020-06-04,2425,325,1115,129
O,2020-06-05,2427,327,1115,129
O,2020-06-06,2428,329,1117,129
O,2020-06-07,2430,330,1117,129
O,2020-06-08,2431,330,1118,129
O,2020-06-09,2431,331,1118,129
O,2020-06-10,2431,332,1118,129
O,2020-06-11,2435,333,1118,129
O,2020-06-12,2435,333,1118,129
O,2020-06-13,2435,333,1118,129
