provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
PM,2020-01-01,0,0,0,0
PM,2020-01-02,0,0,0,0
PM,2020-01-03,0,0,0,0
PM,2020-01-04,0,0,0,0
PM,2020-01-05,0,0,0,0
PM,2020-01-06,0,0,0,0
PM,2020-01-07,0,0,0,0
PM,2020-01-08,0,0,0,0
PM,2020-01-09,0,0,0,0
PM,2020-01-10,0,0,0,0
PM,2020-01-11,0,0,0,0
PM,2020-01-12,0,0,0,0
PM,2020-01-13,0,0,0,0
PM,2020-01-14,0,0,0,0
PM,2020-01-15,0,0,0,0
PM,2020-01-16,0,0,0,0
PM,2020-01-17,0,0,0,0
PM,2020-01-18,0,0,0,0
PM,2020-01-19,0,0,0,0
PM,2020-01-20,0,0,0,0
PM,2020-01-21,0,0,0,0
PM,2020-01-22,0,0,0,0
PM,2020-01-23,0,0,0,0
PM,2020-01-24,0,0,0,0
PM,2020-01-25,0,0,0,0
PM,2020-01-26,0,0,0,0
PM,2020-01-27,0,0,0,0
PM,2020-01-28,0,0,0,0
PM,2020-01-29,0,0,0,0
PM,2020-01-30,0,0,0,0
PM,2020-01-31,0,0,0,0
PM,2020-02-01,0,0,0,0
PM,2020-02-02,0,0,0,0
PM,2020-02-03,0,0,0,0
PM,2020-02-04,0,0,0,0
PM,2020-02-05,0,0,0,0
PM,2020-02-06,0,0,0,0
PM,2020-02-07,0,0,0,0
PM,2020-02-08,0,0,0,0
PM,2020-02-09,1,0,1,0
PM,2020-02-10,1,0,1,0
PM,2020-02-11,1,0,1,0
PM,2020-02-12,1,0,1,0
PM,2020-02-13,1,0,1,0
PM,2020-02-14,1,0,1,0
PM,2020-02-15,1,0,1,0
PM,2020-02-16,1,0,1,0
PM,2020-02-17,1,0,1,0
PM,2020-02-18,1,0,1,0
PM,2020-02-19,1,0,1,0
PM,2020-02-20,1,0,1,0
PM,2020-02-21,1,0,1,0
PM,2020-02-22,1,0,1,0
PM,2020-02-23,1,0,1,0
PM,2020-02-24,1,0,1,0
PM,2020-02-25,1,0,1,0
PM,2020-02-26,1,0,1,0
PM,2020-02-27,3,0,2,0
PM,2020-02-28,4,0,3,0
PM,2020-02-29,4,0,3,0
PM,2020-03-01,5,0,3,0
PM,2020-03-02,6,0,4,0
PM,2020-03-03,10,0,5,0
PM,2020-03-04,14,0,8,1
PM,2020-03-05,17,0,9,3
PM,2020-03-06,19,0,11,4
PM,2020-03-07,20,0,13,4
PM,2020-03-08,24,0,15,5
PM,2020-03-09,31,0,18,5
PM,2020-03-10,43,0,22,5
PM,2020-03-11,60,0,25,6
PM,2020-03-12,71,3,31,7
PM,2020-03-13,87,3,40,10
PM,2020-03-14,101,3,52,11
PM,2020-03-15,126,3,58,14
PM,2020-03-16,148,3,75,16
PM,2020-03-17,185,4,89,19
PM,2020-03-18,237,4,112,24
PM,2020-03-19,283,5,136,29
PM,2020-03-20,359,6,173,36
PM,2020-03-21,429,11,205,44
PM,2020-03-22,492,14,232,56
PM,2020-03-23,583,17,279,65
PM,2020-03-24,688,22,327,74
PM,2020-03-25,780,25,379,85
PM,2020-03-26,872,29,435,94
PM,2020-03-27,971,34,504,103
PM,2020-03-28,1049,40,548,106
PM,2020-03-29,1109,46,585,111
PM,2020-03-30,1182,53,639,119
PM,2020-03-31,1237,61,674,125
PM,2020-04-01,1335,68,726,132
PM,2020-04-02,1424,77,782,139
PM,2020-04-03,1487,82,815,143
PM,2020-04-04,1534,88,839,145
PM,2020-04-05,1555,90,853,147
PM,2020-04-06,1613,92,880,150
PM,2020-04-07,1647,102,907,153
PM,2020-04-08,1692,112,935,155
PM,2020-04-09,1716,117,945,155
PM,2020-04-10,1733,124,954,156
PM,2020-04-11,1749,129,967,156
PM,2020-04-12,1761,131,978,157
PM,2020-04-13,1786,136,991,158
PM,2020-04-14,1806,144,1005,159
PM,2020-04-15,1820,152,1012,159
PM,2020-04-16,1848,159,1037,159
PM,2020-04-17,1864,167,1048,162
PM,2020-04-18,1876,170,1058,163
PM,2020-04-19,1901,173,1064,163
PM,2020-04-20,1913,174,1073,163
PM,2020-04-21,1928,177,1084,165
PM,2020-04-22,1932,179,1087,165
PM,2020-04-23,1942,181,1095,165
PM,2020-04-24,1947,182,1099,165
PM,2020-04-25,1953,186,1100,165
PM,2020-04-26,1959,189,1102,165
PM,2020-04-27,1965,191,1103,165
PM,2020-04-28,1970,197,1104,165
PM,2020-04-29,1979,200,1109,165
PM,2020-04-30,1988,204,1113,165
PM,2020-05-01,1995,205,1116,166
PM,2020-05-02,1997,205,1118,166
PM,2020-05-03,1998,206,1119,166
PM,2020-05-04,2003,207,1122,166
PM,2020-05-05,2009,208,1126,167
PM,2020-05-06,2017,208,1128,168
PM,2020-05-07,2023,212,1128,168
PM,2020-05-08,2027,212,1133,168
PM,2020-05-09,2029,212,1133,168
PM,2020-05-10,2031,216,1134,168
PM,2020-05-11,2038,218,1134,168
PM,2020-05-12,2044,218,1134,168
PM,2020-05-13,2054,219,1134,168
PM,2020-05-14,2071,220,1135,168
PM,2020-05-15,2085,221,1135,168
PM,2020-05-16,2090,221,1137,168
PM,2020-05-17,2095,221,1138,168
PM,2020-05-18,2107,223,1141,168
PM,2020-05-19,2117,223,1142,169
PM,2020-05-20,2129,224,1142,169
PM,2020-05-21,2137,224,1144,169
PM,2020-05-22,2142,224,1145,169
PM,2020-05-23,2146,225,1145,169
PM,2020-05-24,2147,225,1145,169
PM,2020-05-25,2149,225,1145,169
PM,2020-05-26,2157,226,1145,169
PM,2020-05-27,2164,226,1145,169
PM,2020-05-28,2174,226,1145,169
PM,2020-05-29,2179,226,1145,169
PM,2020-05-30,2179,226,1145,169
PM,2020-05-31,2181,226,1146,169
PM,2020-06-01,2185,226,1146,169
PM,2020-06-02,2192,226,1146,169
PM,2020-06-03,2196,226,1147,169
PM,2020-06-04,2200,226,1147,169
PM,2020-06-05,2203,226,1147,169
PM,2020-06-06,2206,226,1147,169
PM,2020-06-07,2206,226,1147,169
PM,2020-06-08,2209,226,1147,169
PM,2020-06-09,2210,226,1147,169
PM,2020-06-10,2215,226,1148,169
PM,2020-06-11,2220,226,1149,169
PM,2020-06-12,2227,226,1149,169
PM,2020-06-13,2229,226,1149,169
PM,2020-06-14,2233,226,1149,169
PM,2020-06-15,2238,226,1149,169
PM,2020-06-16,2238,226,1149,169
PM,2020-06-17,2241,226,1149,169
PM,2020-06-18,2246,226,1149,169
PM,2020-06-19,2258,226,1150,169
PM,2020-06-20,2259,226,1150,169
PM,2020-06-21,2262,226,1150,169
PM,2020-06-22,2262,226,1150,169
PM,2020-06-23,2265,226,1150,169
PM,2020-06-24,2265,226,1150,169
PM,2020-06-25,2267,226,1150,169
PM,2020-06-26,2277,227,1151,169
PM,2020-06-27,2280,227,1151,169
PM,2020-06-28,2282,227,1151,169
PM,2020-06-29,2293,227,1151,169
PM,2020-06-30,2299,227,1152,170
PM,2020-07-01,2306,227,1152,170
PM,2020-07-02,2309,227,1152,170
PM,2020-07-03,2313,227,1152,170
PM,2020-07-04,2317,228,1152,170
PM,2020-07-05,2317,228,1152,170
PM,2020-07-06,2318,228,1152,170
PM,2020-07-07,2321,228,1153,170
PM,2020-07-08,2326,228,1153,170
PM,2020-07-09,2328,228,1153,170
PM,2020-07-10,2338,228,1153,170
PM,2020-07-11,2342,229,1153,170
PM,2020-07-12,2347,229,1153,170
PM,2020-07-13,2348,229,1154,170
PM,2020-07-14,2353,229,1155,170
PM,2020-07-15,2366,229,1156,170
PM,2020-07-16,2379,229,1157,170
PM,2020-07-17,2385,230,1157,170
PM,2020-07-18,2391,230,1157,170
PM,2020-07-19,2395,230,1158,170
PM,2020-07-20,2401,230,1159,170
PM,2020-07-21,2407,230,1159,170
PM,2020-07-22,2411,230,1160,170
PM,2020-07-23,2436,230,1161,170
PM,2020-07-24,2468,230,1163,170
PM,2020-07-25,2491,230,1163,171
PM,2020-07-26,2528,230,1165,171
PM,2020-07-27,2548,230,1166,172
PM,2020-07-28,2579,230,1169,172
PM,2020-07-29,2616,230,1174,172
PM,2020-07-30,2674,230,1176,172
PM,2020-07-31,2757,230,1180,172
PM,2020-08-01,2818,230,1183,172
PM,2020-08-02,2864,230,1183,172
PM,2020-08-03,2958,230,1186,172
PM,2020-08-04,3100,230,1188,172
PM,2020-08-05,3218,230,1190,173
PM,2020-08-06,3390,231,1192,175
PM,2020-08-07,3599,231,1196,176
PM,2020-08-08,3767,231,1204,176
PM,2020-08-09,3864,231,1206,176
PM,2020-08-10,4105,231,1214,176
PM,2020-08-11,4314,231,1221,177
PM,2020-08-12,4553,231,1230,177
PM,2020-08-13,4898,231,1235,178
PM,2020-08-14,5220,231,1246,182
PM,2020-08-15,5398,231,1256,185
PM,2020-08-16,5575,232,1264,186
PM,2020-08-17,5920,234,1276,190
PM,2020-08-18,6283,236,1285,192
PM,2020-08-19,6659,238,1299,194
PM,2020-08-20,7006,239,1311,196
PM,2020-08-21,7329,239,1321,198
PM,2020-08-22,7556,239,1337,199
PM,2020-08-23,7760,241,1349,202
PM,2020-08-24,8023,245,1370,209
PM,2020-08-25,8328,245,1395,210
PM,2020-08-26,8682,247,1403,214
PM,2020-08-27,8935,248,1426,219
PM,2020-08-28,9237,252,1445,222
PM,2020-08-29,9512,253,1464,229
PM,2020-08-30,9631,261,1480,232
PM,2020-08-31,9889,263,1496,234
PM,2020-09-01,10153,266,1510,236
PM,2020-09-02,10397,270,1531,239
PM,2020-09-03,10628,271,1555,242
PM,2020-09-04,10815,271,1575,244
PM,2020-09-05,10951,272,1592,244
PM,2020-09-06,11042,272,1604,247
PM,2020-09-07,11212,273,1620,248
PM,2020-09-08,11383,277,1635,249
PM,2020-09-09,11569,281,1647,249
PM,2020-09-10,11725,285,1662,252
PM,2020-09-11,11859,286,1684,254
PM,2020-09-12,11930,289,1700,254
PM,2020-09-13,11995,292,1715,259
PM,2020-09-14,12136,293,1729,263
PM,2020-09-15,12379,304,1746,268
PM,2020-09-16,12660,306,1759,271
PM,2020-09-17,12879,308,1780,274
PM,2020-09-18,13059,311,1790,278
PM,2020-09-19,13184,315,1806,282
PM,2020-09-20,13263,319,1819,284
PM,2020-09-21,13375,324,1828,285
PM,2020-09-22,13541,330,1841,288
PM,2020-09-23,13710,331,1850,288
PM,2020-09-24,13841,333,1858,289
PM,2020-09-25,14011,338,1868,290
PM,2020-09-26,14113,339,1878,290
PM,2020-09-27,14172,340,1882,290
PM,2020-09-28,14235,342,1887,290
PM,2020-09-29,14387,344,1897,291
PM,2020-09-30,14501,350,1906,291
PM,2020-10-01,14602,354,1915,293
PM,2020-10-02,14718,355,1924,293
PM,2020-10-03,14835,360,1926,294
PM,2020-10-04,14901,360,1928,295
PM,2020-10-05,14985,361,1940,295
PM,2020-10-06,15092,361,1948,295
PM,2020-10-07,15205,362,1953,297
PM,2020-10-08,15337,362,1959,298
PM,2020-10-09,15453,364,1967,299
PM,2020-10-10,15562,366,1978,299
PM,2020-10-11,15670,368,1990,302
PM,2020-10-12,15747,369,1993,303
PM,2020-10-13,15857,373,2003,304
PM,2020-10-14,16037,377,2008,304
PM,2020-10-15,16126,379,2016,305
PM,2020-10-16,16287,379,2025,305
PM,2020-10-17,16403,379,2029,306
PM,2020-10-18,16491,381,2032,306
PM,2020-10-19,16648,383,2035,307
PM,2020-10-20,16841,384,2047,308
