provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
SS,2020-01-01,0,0,0,0
SS,2020-01-02,0,0,3,0
SS,2020-01-03,0,0,3,0
SS,2020-01-04,0,0,3,0
SS,2020-01-05,0,0,4,0
SS,2020-01-06,0,0,4,0
SS,2020-01-07,0,0,5,1
SS,2020-01-08,0,0,5,1
SS,2020-01-09,0,0,5,1
SS,2020-01-10,0,0,5,1
SS,2020-01-11,0,0,5,1
SS,2020-01-12,0,0,5,1
SS,2020-01-13,0,0,6,1
SS,2020-01-14,0,0,6,1
SS,2020-01-15,0,0,6,1
SS,2020-01-16,0,0,7,1
SS,2020-01-17,0,0,7,1
SS,2020-01-18,0,0,7,1
SS,2020-01-19,0,0,7,1
SS,2020-01-20,0,0,7,1
SS,2020-01-21,0,0,7,1
SS,2020-01-22,0,0,7,1
SS,2020-01-23,0,0,7,1
SS,2020-01-24,0,0,8,1
SS,2020-01-25,0,0,8,1
SS,2020-01-26,0,0,8,1
SS,2020-01-27,0,0,8,1
SS,2020-01-28,0,0,8,1
SS,2020-01-29,0,0,8,1
SS,2020-01-30,0,0,8,1
SS,2020-01-31,0,0,8,1
SS,2020-02-01,0,0,8,1
SS,2020-02-02,0,0,8,1
SS,2020-02-03,0,0,8,1
SS,2020-02-04,0,0,8,1
SS,2020-02-05,0,0,8,1
SS,2020-02-06,0,0,8,1
SS,2020-02-07,0,0,10,1
SS,2020-02-08,0,0,10,1
SS,2020-02-09,0,0,10,1
SS,2020-02-10,0,0,10,1
SS,2020-02-11,0,0,10,1
SS,2020-02-12,0,0,10,1
SS,2020-02-13,0,0,10,1
SS,2020-02-14,0,0,10,1
SS,2020-02-15,0,0,10,1
SS,2020-02-16,0,0,10,1
SS,2020-02-17,0,0,10,1
SS,2020-02-18,0,0,10,1
SS,2020-02-19,0,0,11,1
SS,2020-02-20,0,0,11,1
SS,2020-02-21,0,0,11,1
SS,2020-02-22,0,0,11,1
SS,2020-02-23,0,0,11,1
SS,2020-02-24,0,0,11,1
SS,2020-02-25,0,0,11,1
SS,2020-02-26,0,0,12,1
SS,2020-02-27,0,0,12,1
SS,2020-02-28,0,0,12,1
SS,2020-02-29,0,0,12,1
SS,2020-03-01,0,0,12,1
SS,2020-03-02,1,0,12,1
SS,2020-03-03,2,0,15,1
SS,2020-03-04,2,0,17,1
SS,2020-03-05,2,0,17,1
SS,2020-03-06,2,0,19,1
SS,2020-03-07,5,0,21,1
SS,2020-03-08,7,0,24,1
SS,2020-03-09,9,1,26,1
SS,2020-03-10,10,1,27,1
SS,2020-03-11,16,3,29,2
SS,2020-03-12,26,3,34,2
SS,2020-03-13,48,3,43,4
SS,2020-03-14,65,3,49,4
SS,2020-03-15,88,5,54,4
SS,2020-03-16,109,7,63,4
SS,2020-03-17,130,8,73,4
SS,2020-03-18,183,11,93,4
SS,2020-03-19,228,12,108,7
SS,2020-03-20,293,16,137,9
SS,2020-03-21,338,16,160,11
SS,2020-03-22,396,18,182,15
SS,2020-03-23,479,21,225,18
SS,2020-03-24,588,23,265,23
SS,2020-03-25,711,29,319,30
SS,2020-03-26,829,33,383,36
SS,2020-03-27,926,41,430,40
SS,2020-03-28,1028,47,475,42
SS,2020-03-29,1079,52,501,45
SS,2020-03-30,1135,62,549,48
SS,2020-03-31,1239,67,591,54
SS,2020-04-01,1309,76,625,55
SS,2020-04-02,1386,84,654,56
SS,2020-04-03,1467,98,685,58
SS,2020-04-04,1518,104,699,60
SS,2020-04-05,1548,109,706,60
SS,2020-04-06,1581,118,731,61
SS,2020-04-07,1694,128,750,61
SS,2020-04-08,1783,133,759,62
SS,2020-04-09,1824,151,776,62
SS,2020-04-10,1879,160,793,62
SS,2020-04-11,1926,174,811,62
SS,2020-04-12,1990,186,820,63
SS,2020-04-13,2030,203,829,63
SS,2020-04-14,2063,212,839,64
SS,2020-04-15,2086,221,847,64
SS,2020-04-16,2112,225,854,64
SS,2020-04-17,2130,232,860,64
SS,2020-04-18,2169,237,861,64
SS,2020-04-19,2176,243,862,64
SS,2020-04-20,2190,248,866,64
SS,2020-04-21,2201,251,870,64
SS,2020-04-22,2217,252,872,64
SS,2020-04-23,2239,254,878,64
SS,2020-04-24,2248,257,882,65
SS,2020-04-25,2253,260,884,65
SS,2020-04-26,2256,261,886,65
SS,2020-04-27,2261,264,888,66
SS,2020-04-28,2268,268,889,66
SS,2020-04-29,2274,269,891,66
SS,2020-04-30,2279,270,893,66
SS,2020-05-01,2282,271,893,66
SS,2020-05-02,2284,274,893,66
