provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
T,2020-01-01,0,0,0,0
T,2020-01-02,0,0,59,0
T,2020-01-03,0,0,59,0
T,2020-01-04,0,0,59,0
T,2020-01-05,0,0,59,0
T,2020-01-06,0,0,59,0
T,2020-01-07,0,0,59,0
T,2020-01-08,0,0,59,0
T,2020-01-09,0,0,59,0
T,2020-01-10,0,0,62,0
T,2020-01-11,0,0,62,0
T,2020-01-12,0,0,62,0
T,2020-01-13,0,0,62,0
T,2020-01-14,0,0,63,0
T,2020-01-15,0,0,64,0
T,2020-01-16,0,0,64,0
T,2020-01-17,0,0,65,0
T,2020-01-18,0,0,65,0
T,2020-01-19,0,0,65,0
T,2020-01-20,0,0,65,0
T,2020-01-21,0,0,65,0
T,2020-01-22,0,0,67,0
T,2020-01-23,0,0,67,0
T,2020-01-24,0,0,71,0
T,2020-01-25,0,0,71,0
T,2020-01-26,0,0,71,0
T,2020-01-27,0,0,72,0
T,2020-01-28,0,0,72,0
T,2020-01-29,0,0,74,0
T,2020-01-30,0,0,75,0
T,2020-01-31,0,0,77,0
T,2020-02-01,0,0,77,0
T,2020-02-02,0,0,77,0
T,2020-02-03,0,0,77,0
T,2020-02-04,0,0,77,0
T,2020-02-05,0,0,77,0
T,2020-02-06,0,0,77,0
T,2020-02-07,0,0,78,0
T,2020-02-08,0,0,78,0
T,2020-02-09,0,0,78,0
T,2020-02-10,0,0,79,0
T,2020-02-11,0,0,80,0
T,2020-02-12,0,0,81,0
T,2020-02-13,0,0,82,0
T,2020-02-14,0,0,83,0
T,2020-02-15,0,0,83,0
T,2020-02-16,0,0,83,0
T,2020-02-17,0,0,86,0
T,2020-02-18,0,0,87,0
T,2020-02-19,0,0,89,0
T,2020-02-20,0,0,90,0
T,2020-02-21,0,0,94,0
T,2020-02-22,0,0,94,0
T,2020-02-23,0,0,94,0
T,2020-02-24,0,0,103,0
T,2020-02-25,0,0,104,0
T,2020-02-26,0,0,106,0
T,2020-02-27,0,0,110,0
T,2020-02-28,0,0,114,0
T,2020-02-29,0,0,114,0
T,2020-03-01,0,0,114,0
T,2020-03-02,0,0,118,0
T,2020-03-03,0,0,120,0
T,2020-03-04,0,0,124,0
T,2020-03-05,0,0,130,0
T,2020-03-06,0,0,136,0
T,2020-03-07,0,0,137,0
T,2020-03-08,1,0,139,0
T,2020-03-09,2,0,147,0
T,2020-03-10,2,0,154,0
T,2020-03-11,10,0,159,0
T,2020-03-12,17,0,166,1
T,2020-03-13,20,0,180,2
T,2020-03-14,31,0,185,3
T,2020-03-15,33,0,192,4
T,2020-03-16,46,1,209,5
T,2020-03-17,71,1,229,7
T,2020-03-18,93,3,245,10
T,2020-03-19,129,4,258,16
T,2020-03-20,165,5,282,19
T,2020-03-21,196,5,301,23
T,2020-03-22,221,7,324,26
T,2020-03-23,283,9,357,34
T,2020-03-24,347,12,395,40
T,2020-03-25,400,18,427,48
T,2020-03-26,461,24,473,50
T,2020-03-27,539,33,507,54
T,2020-03-28,599,37,537,57
T,2020-03-29,648,45,562,65
T,2020-03-30,749,55,584,67
T,2020-03-31,817,67,605,71
T,2020-04-01,886,71,641,76
T,2020-04-02,962,79,658,76
T,2020-04-03,1066,87,679,80
T,2020-04-04,1129,93,695,83
T,2020-04-05,1173,97,708,84
T,2020-04-06,1236,108,729,85
T,2020-04-07,1295,119,748,86
T,2020-04-08,1355,132,773,88
T,2020-04-09,1416,151,795,88
T,2020-04-10,1456,160,810,90
T,2020-04-11,1475,167,819,90
T,2020-04-12,1504,171,835,90
T,2020-04-13,1520,183,843,91
T,2020-04-14,1572,202,854,91
T,2020-04-15,1671,209,865,91
T,2020-04-16,1709,225,871,91
T,2020-04-17,1750,230,879,91
T,2020-04-18,1780,235,884,92
T,2020-04-19,1793,241,889,92
T,2020-04-20,1829,246,895,93
T,2020-04-21,1859,254,904,93
T,2020-04-22,1890,262,908,94
T,2020-04-23,1912,268,909,94
T,2020-04-24,1936,271,913,95
T,2020-04-25,1941,275,919,96
T,2020-04-26,1944,276,923,96
T,2020-04-27,1956,283,924,96
T,2020-04-28,1974,286,927,96
T,2020-04-29,1987,287,929,96
T,2020-04-30,2022,291,932,96
T,2020-05-01,2025,294,934,97
T,2020-05-02,2026,296,934,97
T,2020-05-03,2028,296,934,97
T,2020-05-04,2033,301,936,97
T,2020-05-05,2042,302,938,97
T,2020-05-06,2050,304,939,97
T,2020-05-07,2061,306,939,97
T,2020-05-08,2070,310,939,97
T,2020-05-09,2072,312,939,97
T,2020-05-10,2072,312,941,97
T,2020-05-11,2078,314,943,97
T,2020-05-12,2080,316,943,97
T,2020-05-13,2092,316,944,97
T,2020-05-14,2094,317,945,97
T,2020-05-15,2106,319,947,97
T,2020-05-16,2115,320,947,97
T,2020-05-17,2123,320,949,97
T,2020-05-18,2130,321,949,97
T,2020-05-19,2135,323,949,97
T,2020-05-20,2168,325,949,97
T,2020-05-21,2178,325,949,97
T,2020-05-22,2181,325,949,97
T,2020-05-23,2182,327,949,97
T,2020-05-24,2182,329,949,97
T,2020-05-25,2187,330,949,97
T,2020-05-26,2187,330,950,97
T,2020-05-27,2196,332,951,97
T,2020-05-28,2201,332,952,97
T,2020-05-29,2205,332,952,97
T,2020-05-30,2211,333,952,98
T,2020-05-31,2212,333,952,98
T,2020-06-01,2227,333,953,98
T,2020-06-02,2234,333,953,98
T,2020-06-03,2240,333,953,98
T,2020-06-04,2246,333,953,98
T,2020-06-05,2247,334,954,98
T,2020-06-06,2249,334,955,98
T,2020-06-07,2252,334,955,98
T,2020-06-08,2257,335,955,98
T,2020-06-09,2262,335,955,98
T,2020-06-10,2264,335,955,98
T,2020-06-11,2269,335,955,98
T,2020-06-12,2272,335,955,98
T,2020-06-13,2274,335,955,98
T,2020-06-14,2274,335,956,98
T,2020-06-15,2275,335,956,98
T,2020-06-16,2276,335,956,98
T,2020-06-17,2277,335,956,98
T,2020-06-18,2279,335,956,98
T,2020-06-19,2282,335,957,98
T,2020-06-20,2283,335,957,98
T,2020-06-21,2283,336,957,98
T,2020-06-22,2283,336,957,98
T,2020-06-23,2285,336,957,98
T,2020-06-24,2285,336,957,98
T,2020-06-25,2286,336,957,98
T,2020-06-26,2289,336,957,98
T,2020-06-27,2289,336,957,98
T,2020-06-28,2289,336,957,98
T,2020-06-29,2290,336,957,98
T,2020-06-30,2294,336,957,98
T,2020-07-01,2297,336,957,98
T,2020-07-02,2302,336,957,98
T,2020-07-03,2308,336,957,98
T,2020-07-04,2314,336,957,98
T,2020-07-05,2319,336,957,98
T,2020-07-06,2320,336,958,98
T,2020-07-07,2328,336,958,98
T,2020-07-08,2339,336,959,98
T,2020-07-09,2353,336,960,98
T,2020-07-10,2374,336,960,98
T,2020-07-11,2382,336,961,98
T,2020-07-12,2389,336,961,98
T,2020-07-13,2412,336,963,98
T,2020-07-14,2432,336,963,98
T,2020-07-15,2458,336,963,98
T,2020-07-16,2480,336,965,98
T,2020-07-17,2515,336,966,98
T,2020-07-18,2544,336,968,98
T,2020-07-19,2569,336,968,98
T,2020-07-20,2586,338,969,98
T,2020-07-21,2622,339,973,98
