provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
TE,2020-01-01,0,0,0,0
TE,2020-01-02,0,0,0,0
TE,2020-01-03,0,0,0,0
TE,2020-01-04,0,0,0,0
TE,2020-01-05,0,0,0,0
TE,2020-01-06,0,0,0,0
TE,2020-01-07,0,0,0,0
TE,2020-01-08,0,0,0,0
TE,2020-01-09,0,0,0,0
TE,2020-01-10,0,0,0,0
TE,2020-01-11,0,0,0,0
TE,2020-01-12,0,0,0,0
TE,2020-01-13,0,0,0,0
TE,2020-01-14,0,0,0,0
TE,2020-01-15,0,0,0,0
TE,2020-01-16,0,0,0,0
TE,2020-01-17,0,0,0,0
TE,2020-01-18,0,0,0,0
TE,2020-01-19,0,0,0,0
TE,2020-01-20,0,0,0,0
TE,2020-01-21,0,0,0,0
TE,2020-01-22,0,0,0,0
TE,2020-01-23,0,0,0,0
TE,2020-01-24,0,0,0,0
TE,2020-01-25,0,0,0,0
TE,2020-01-26,0,0,0,0
TE,2020-01-27,0,0,1,0
TE,2020-01-28,0,0,1,0
TE,2020-01-29,0,0,1,0
TE,2020-01-30,0,0,1,0
TE,2020-01-31,0,0,1,0
TE,2020-02-01,0,0,1,0
TE,2020-02-02,0,0,1,0
TE,2020-02-03,0,0,1,0
TE,2020-02-04,0,0,1,0
TE,2020-02-05,0,0,1,0
TE,2020-02-06,0,0,1,0
TE,2020-02-07,0,0,1,0
TE,2020-02-08,0,0,1,0
TE,2020-02-09,0,0,1,0
TE,2020-02-10,0,0,1,0
TE,2020-02-11,0,0,1,0
TE,2020-02-12,0,0,1,0
TE,2020-02-13,0,0,1,0
TE,2020-02-14,0,0,1,0
TE,2020-02-15,0,0,1,0
TE,2020-02-16,0,0,1,0
TE,2020-02-17,0,0,1,0
TE,2020-02-18,0,0,1,0
TE,2020-02-19,0,0,2,0
TE,2020-02-20,0,0,2,0
TE,2020-02-21,0,0,2,0
TE,2020-02-22,0,0,3,0
TE,2020-02-23,0,0,3,1
TE,2020-02-24,0,0,3,1
TE,2020-02-25,0,0,3,1
TE,2020-02-26,0,0,4,1
TE,2020-02-27,0,0,4,1
TE,2020-02-28,0,0,4,2
TE,2020-02-29,0,0,4,2
TE,2020-03-01,0,0,4,2
TE,2020-03-02,0,0,4,2
TE,2020-03-03,0,0,4,2
TE,2020-03-04,0,0,4,2
TE,2020-03-05,0,0,5,2
TE,2020-03-06,0,0,6,2
TE,2020-03-07,0,0,7,2
TE,2020-03-08,1,0,9,2
TE,2020-03-09,2,0,12,2
TE,2020-03-10,2,0,13,2
TE,2020-03-11,6,0,16,2
TE,2020-03-12,8,0,20,2
TE,2020-03-13,8,0,21,2
TE,2020-03-14,11,0,23,3
TE,2020-03-15,15,0,27,4
TE,2020-03-16,22,1,34,4
TE,2020-03-17,23,1,35,4
TE,2020-03-18,32,1,40,7
TE,2020-03-19,42,2,49,8
TE,2020-03-20,58,3,53,8
TE,2020-03-21,63,3,55,9
TE,2020-03-22,74,4,63,10
TE,2020-03-23,81,5,70,11
TE,2020-03-24,106,8,88,13
TE,2020-03-25,134,9,101,16
TE,2020-03-26,163,11,119,16
TE,2020-03-27,192,12,130,18
TE,2020-03-28,212,14,140,19
TE,2020-03-29,226,17,146,19
TE,2020-03-30,245,21,157,20
TE,2020-03-31,278,24,164,22
TE,2020-04-01,311,26,167,23
TE,2020-04-02,335,27,179,25
TE,2020-04-03,363,30,186,27
TE,2020-04-04,373,31,191,27
TE,2020-04-05,383,34,195,27
TE,2020-04-06,402,39,197,29
TE,2020-04-07,407,45,200,29
TE,2020-04-08,429,49,203,30
TE,2020-04-09,453,53,204,31
TE,2020-04-10,458,60,206,32
TE,2020-04-11,470,64,206,32
TE,2020-04-12,495,67,208,32
TE,2020-04-13,506,69,210,32
TE,2020-04-14,510,72,214,32
TE,2020-04-15,520,74,218,32
TE,2020-04-16,528,77,221,32
TE,2020-04-17,531,79,221,32
TE,2020-04-18,532,80,222,32
TE,2020-04-19,534,82,226,32
TE,2020-04-20,535,82,227,32
TE,2020-04-21,536,83,228,32
TE,2020-04-22,537,84,228,32
TE,2020-04-23,537,86,229,32
TE,2020-04-24,540,87,229,32
TE,2020-04-25,540,87,229,32
TE,2020-04-26,541,87,231,32
TE,2020-04-27,544,88,233,32
