provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
TO,2020-01-01,0,0,0,0
TO,2020-01-02,0,0,0,0
TO,2020-01-03,0,0,0,0
TO,2020-01-04,0,0,0,0
TO,2020-01-05,0,0,0,0
TO,2020-01-06,0,0,0,0
TO,2020-01-07,0,0,0,0
TO,2020-01-08,0,0,0,0
TO,2020-01-09,0,0,0,0
TO,2020-01-10,0,0,0,0
TO,2020-01-11,0,0,0,0
TO,2020-01-12,0,0,0,0
TO,2020-01-13,0,0,0,0
TO,2020-01-14,0,0,0,0
TO,2020-01-15,0,0,0,0
TO,2020-01-16,0,0,0,0
TO,2020-01-17,0,0,0,0
TO,2020-01-18,0,0,0,0
TO,2020-01-19,0,0,0,0
TO,2020-01-20,0,0,0,0
TO,2020-01-21,0,0,0,0
TO,2020-01-22,0,0,0,0
TO,2020-01-23,0,0,0,0
TO,2020-01-24,0,0,0,0
TO,2020-01-25,0,0,0,0
TO,2020-01-26,0,0,0,0
TO,2020-01-27,0,0,0,0
TO,2020-01-28,0,0,0,0
TO,2020-01-29,0,0,0,0
TO,2020-01-30,0,0,0,0
TO,2020-01-31,0,0,0,0
TO,2020-02-01,0,0,0,0
TO,2020-02-02,0,0,0,0
TO,2020-02-03,0,0,0,0
TO,2020-02-04,0,0,0,0
TO,2020-02-05,0,0,0,0
TO,2020-02-06,0,0,0,0
TO,2020-02-07,0,0,0,0
TO,2020-02-08,0,0,0,0
TO,2020-02-09,0,0,0,0
TO,2020-02-10,0,0,0,0
TO,2020-02-11,0,0,0,0
TO,2020-02-12,0,0,0,0
TO,2020-02-13,0,0,0,0
TO,2020-02-14,0,0,0,0
TO,2020-02-15,0,0,0,0
TO,2020-02-16,0,0,0,0
TO,2020-02-17,0,0,0,0
TO,2020-02-18,0,0,0,0
TO,2020-02-19,0,0,0,0
TO,2020-02-20,0,0,0,0
TO,2020-02-21,0,0,0,0
TO,2020-02-22,0,0,0,0
TO,2020-02-23,0,0,0,0
TO,2020-02-24,0,0,0,0
TO,2020-02-25,0,0,0,0
TO,2020-02-26,0,0,0,0
TO,2020-02-27,0,0,0,0
TO,2020-02-28,0,0,0,0
TO,2020-02-29,0,0,0,0
TO,2020-03-01,1,0,0,0
TO,2020-03-02,1,0,3,0
TO,2020-03-03,1,0,4,0
TO,2020-03-04,2,0,5,1
TO,2020-03-05,3,0,6,1
TO,2020-03-06,4,0,7,1
TO,2020-03-07,4,0,9,1
TO,2020-03-08,7,0,13,1
TO,2020-03-09,8,1,21,1
TO,2020-03-10,15,1,31,1
TO,2020-03-11,27,1,35,2
TO,2020-03-12,45,1,54,3
TO,2020-03-13,79,2,65,5
TO,2020-03-14,106,5,95,7
TO,2020-03-15,147,9,127,13
TO,2020-03-16,198,13,170,20
TO,2020-03-17,249,18,223,23
TO,2020-03-18,342,24,276,29
TO,2020-03-19,395,32,321,30
TO,2020-03-20,485,38,408,36
TO,2020-03-21,622,47,478,43
TO,2020-03-22,720,58,579,49
TO,2020-03-23,929,81,704,61
TO,2020-03-24,1065,99,829,74
TO,2020-03-25,1291,124,1001,81
TO,2020-03-26,1432,150,1106,84
TO,2020-03-27,1619,175,1212,89
TO,2020-03-28,1689,206,1279,91
TO,2020-03-29,1766,226,1349,93
TO,2020-03-30,1920,246,1459,105
TO,2020-03-31,2066,270,1539,111
TO,2020-04-01,2197,291,1609,112
TO,2020-04-02,2290,317,1683,117
TO,2020-04-03,2481,332,1765,121
TO,2020-04-04,2595,356,1810,125
TO,2020-04-05,2659,377,1856,128
TO,2020-04-06,2776,397,1930,131
TO,2020-04-07,2923,415,2001,132
TO,2020-04-08,3045,438,2061,136
TO,2020-04-09,3120,452,2104,137
TO,2020-04-10,3178,468,2153,139
TO,2020-04-11,3241,482,2183,141
