provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
V,2020-01-01,0,0,1,0
V,2020-01-02,0,0,3,0
V,2020-01-03,0,0,4,0
V,2020-01-04,0,0,5,0
V,2020-01-05,0,0,8,0
V,2020-01-06,0,0,9,0
V,2020-01-07,0,0,9,0
V,2020-01-08,0,0,10,0
V,2020-01-09,0,0,10,0
V,2020-01-10,0,0,10,0
V,2020-01-11,0,0,11,0
V,2020-01-12,0,0,14,0
V,2020-01-13,0,0,17,0
V,2020-01-14,0,0,17,0
V,2020-01-15,0,0,17,0
V,2020-01-16,0,0,17,0
V,2020-01-17,0,0,17,0
V,2020-01-18,0,0,18,0
V,2020-01-19,0,0,18,0
V,2020-01-20,0,0,18,0
V,2020-01-21,0,0,18,0
V,2020-01-22,0,0,18,0
V,2020-01-23,0,0,18,0
V,2020-01-24,0,0,18,0
V,2020-01-25,0,0,18,0
V,2020-01-26,0,0,19,0
V,2020-01-27,0,0,19,0
V,2020-01-28,0,0,22,0
V,2020-01-29,0,0,22,0
V,2020-01-30,0,0,23,0
V,2020-01-31,0,0,25,0
V,2020-02-01,0,0,25,0
V,2020-02-02,0,0,25,0
V,2020-02-03,0,0,26,0
V,2020-02-04,0,0,26,0
V,2020-02-05,0,0,26,0
V,2020-02-06,0,0,26,0
V,2020-02-07,0,0,28,0
V,2020-02-08,0,0,28,0
V,2020-02-09,0,0,28,0
V,2020-02-10,0,0,28,0
V,2020-02-11,0,0,29,0
V,2020-02-12,0,0,29,0
V,2020-02-13,0,1,31,1
V,2020-02-14,0,1,31,1
V,2020-02-15,0,1,31,1
V,2020-02-16,0,1,31,1
V,2020-02-17,0,1,32,1
V,2020-02-18,0,1,32,1
V,2020-02-19,0,1,32,1
V,2020-02-20,0,1,32,1
V,2020-02-21,0,1,33,2
V,2020-02-22,0,1,34,2
V,2020-02-23,0,1,35,2
V,2020-02-24,0,1,35,2
V,2020-02-25,0,1,36,2
V,2020-02-26,0,1,37,2
V,2020-02-27,5,1,42,2
V,2020-02-28,10,1,44,2
V,2020-02-29,14,1,46,2
V,2020-03-01,14,1,46,2
V,2020-03-02,15,1,47,2
V,2020-03-03,19,1,49,2
V,2020-03-04,20,1,49,2
V,2020-03-05,24,1,51,3
V,2020-03-06,25,1,53,3
V,2020-03-07,28,1,55,4
V,2020-03-08,31,1,56,4
V,2020-03-09,37,1,64,5
V,2020-03-10,64,1,74,5
V,2020-03-11,91,1,90,6
V,2020-03-12,124,1,107,11
