provincia_iso,fecha,num_casos,num_def,num_hosp,num_uci
Z,2020-01-01,0,0,0,0
Z,2020-01-02,0,0,0,0
Z,2020-01-03,0,0,0,0
Z,2020-01-04,0,0,0,0
Z,2020-01-05,0,0,0,0
Z,2020-01-06,0,0,0,0
Z,2020-01-07,0,0,0,0
Z,2020-01-08,0,0,0,0
Z,2020-01-09,0,0,0,0
Z,2020-01-10,0,0,0,0
Z,2020-01-11,0,0,0,0
Z,2020-01-12,0,0,0,0
Z,2020-01-13,0,0,0,0
Z,2020-01-14,0,0,0,0
Z,2020-01-15,0,0,0,0
Z,2020-01-16,0,0,0,0
Z,2020-01-17,0,0,0,0
Z,2020-01-18,0,0,0,0
Z,2020-01-19,0,0,0,0
Z,2020-01-20,0,0,0,0
Z,2020-01-21,0,0,0,0
Z,2020-01-22,0,0,0,0
Z,2020-01-23,0,0,0,0
Z,2020-01-24,0,0,0,0
Z,2020-01-25,0,0,0,0
Z,2020-01-26,0,0,0,0
Z,2020-01-27,0,0,0,0
Z,2020-01-28,0,0,0,0
Z,2020-01-29,0,0,0,0
Z,2020-01-30,0,0,0,0
Z,2020-01-31,0,0,0,0
Z,2020-02-01,0,0,0,0
Z,2020-02-02,0,0,0,0
Z,2020-02-03,0,0,0,0
Z,2020-02-04,0,0,0,0
Z,2020-02-05,0,0,0,0
Z,2020-02-06,0,0,1,0
Z,2020-02-07,0,0,1,0
Z,2020-02-08,0,0,1,0
Z,2020-02-09,0,0,1,0
Z,2020-02-10,0,0,1,0
Z,2020-02-11,0,0,1,0
Z,2020-02-12,0,0,1,0
Z,2020-02-13,0,0,1,0
Z,2020-02-14,0,0,1,0
Z,2020-02-15,0,0,1,0
Z,2020-02-16,0,0,2,0
Z,2020-02-17,0,0,2,0
Z,2020-02-18,0,0,2,0
Z,2020-02-19,0,0,2,0
Z,2020-02-20,0,0,3,0
Z,2020-02-21,0,0,3,0
Z,2020-02-22,0,0,3,0
Z,2020-02-23,0,0,3,1
Z,2020-02-24,1,0,3,1
Z,2020-02-25,1,0,3,1
Z,2020-02-26,1,0,3,1
Z,2020-02-27,1,0,6,1
Z,2020-02-28,1,0,7,1
Z,2020-02-29,1,0,9,2
Z,2020-03-01,1,0,9,2
Z,2020-03-02,1,0,10,2
Z,2020-03-03,1,0,12,3
Z,2020-03-04,3,0,12,3
Z,2020-03-05,6,0,14,4
Z,2020-03-06,9,0,17,4
Z,2020-03-07,17,0,21,5
Z,2020-03-08,29,2,24,5
Z,2020-03-09,33,4,29,7
Z,2020-03-10,39,5,33,8
Z,2020-03-11,51,5,37,9
Z,2020-03-12,67,8,50,10
Z,2020-03-13,86,8,55,12
Z,2020-03-14,119,9,69,15
Z,2020-03-15,143,10,83,20
Z,2020-03-16,170,13,100,26
Z,2020-03-17,200,13,115,33
Z,2020-03-18,246,16,136,37
Z,2020-03-19,315,21,166,46
Z,2020-03-20,397,25,214,55
Z,2020-03-21,499,29,283,60
Z,2020-03-22,573,38,323,68
Z,2020-03-23,672,48,389,78
Z,2020-03-24,819,52,498,99
Z,2020-03-25,1005,72,597,109
Z,2020-03-26,1182,86,709,124
Z,2020-03-27,1392,94,819,138
Z,2020-03-28,1547,104,903,148
Z,2020-03-29,1645,118,953,155
Z,2020-03-30,1788,141,1039,160
Z,2020-03-31,1990,161,1107,167
Z,2020-04-01,2141,183,1183,175
Z,2020-04-02,2272,200,1250,181
Z,2020-04-03,2402,221,1313,189
Z,2020-04-04,2477,236,1351,194
Z,2020-04-05,2549,256,1391,201
Z,2020-04-06,2670,282,1437,207
Z,2020-04-07,2736,301,1492,212
Z,2020-04-08,2856,320,1525,213
Z,2020-04-09,2963,337,1563,215
Z,2020-04-10,3036,359,1599,219
Z,2020-04-11,3119,385,1640,221
Z,2020-04-12,3179,401,1660,223
Z,2020-04-13,3235,419,1702,226
Z,2020-04-14,3295,442,1733,228
Z,2020-04-15,3353,456,1764,233
Z,2020-04-16,3416,470,1781,234
Z,2020-04-17,3462,486,1814,241
Z,2020-04-18,3501,502,1825,243
Z,2020-04-19,3545,509,1849,244
Z,2020-04-20,3600,520,1875,246
Z,2020-04-21,3667,544,1899,248
Z,2020-04-22,3714,555,1927,249
Z,2020-04-23,3760,562,1940,250
Z,2020-04-24,3814,575,1958,251
Z,2020-04-25,3838,581,1977,251
Z,2020-04-26,3851,588,1980,251
Z,2020-04-27,3894,598,2001,253
Z,2020-04-28,3948,602,2017,254
Z,2020-04-29,3966,613,2023,257
Z,2020-04-30,3997,617,2030,257
Z,2020-05-01,4013,618,2035,259
Z,2020-05-02,4034,624,2044,260
Z,2020-05-03,4049,629,2046,261
Z,2020-05-04,4074,638,2057,263
Z,2020-05-05,4089,641,2058,263
Z,2020-05-06,4111,646,2062,264
Z,2020-05-07,4127,656,2065,265
Z,2020-05-08,4146,658,2069,266
Z,2020-05-09,4161,662,2069,266
Z,2020-05-10,4174,665,2071,266
Z,2020-05-11,4182,668,2071,266
Z,2020-05-12,4195,672,2072,266
Z,2020-05-13,4215,677,2072,267
Z,2020-05-14,4226,679,2073,267
Z,2020-05-15,4237,683,2074,267
Z,2020-05-16,4238,684,2074,267
Z,2020-05-17,4248,686,2075,267
Z,2020-05-18,4258,687,2076,269
Z,2020-05-19,4267,687,2076,269
Z,2020-05-20,4270,688,2079,269
Z,2020-05-21,4273,688,2081,270
Z,2020-05-22,4278,688,2081,270
Z,2020-05-23,4287,689,2081,270
Z,2020-05-24,4288,689,2081,270
Z,2020-05-25,4299,692,2084,272
Z,2020-05-26,4308,693,2086,272
Z,2020-05-27,4315,694,2087,272
Z,2020-05-28,4321,696,2087,272
Z,2020-05-29,4328,697,2087,272
Z,2020-05-30,4331,697,2088,272
Z,2020-05-31,4333,698,2088,273
Z,2020-06-01,4337,700,2088,273
Z,2020-06-02,4343,702,2089,273
Z,2020-06-03,4344,702,2092,273
Z,2020-06-04,4354,702,2092,273
Z,2020-06-05,4361,703,2092,273
Z,2020-06-06,4368,703,2093,273
Z,2020-06-07,4373,703,2093,273
Z,2020-06-08,4373,703,2094,273
Z,2020-06-09,4384,703,2094,273
Z,2020-06-10,4386,704,2094,273
Z,2020-06-11,4393,704,2095,273
Z,2020-06-12,4397,704,2096,273
Z,2020-06-13,4399,705,2096,273
Z,2020-06-14,4400,705,2097,273
Z,2020-06-15,4401,705,2097,273
Z,2020-06-16,4404,705,2097,273
Z,2020-06-17,4405,705,2097,273
Z,2020-06-18,4410,706,2100,274
Z,2020-06-19,4414,706,2100,274
Z,2020-06-20,4419,706,2101,274
Z,2020-06-21,4421,706,2101,274
Z,2020-06-22,4426,706,2101,274
Z,2020-06-23,4436,706,2102,274
Z,2020-06-24,4447,706,2103,274
Z,2020-06-25,4465,706,2104,274
Z,2020-06-26,4475,706,2105,274
Z,2020-06-27,4498,706,2105,274
Z,2020-06-28,4501,706,2105,274
Z,2020-06-29,4505,706,2105,274
Z,2020-06-30,4513,706,2106,274
Z,2020-07-01,4524,706,2107,274
Z,2020-07-02,4534,706,2108,274
Z,2020-07-03,4555,706,2112,275
Z,2020-07-04,4568,706,2112,275
Z,2020-07-05,4578,706,2113,275
Z,2020-07-06,4589,706,2115,275
Z,2020-07-07,4603,706,2117,275
Z,2020-07-08,4639,706,2120,275
Z,2020-07-09,4679,706,2123,275
Z,2020-07-10,4727,706,2126,276
Z,2020-07-11,4799,706,2126,276
Z,2020-07-12,4817,706,2131,276
Z,2020-07-13,4896,706,2138,276
Z,2020-07-14,5016,706,2149,276
Z,2020-07-15,5174,706,2155,276
Z,2020-07-16,5316,706,2170,277
Z,2020-07-17,5518,706,2189,278
Z,2020-07-18,5698,706,2199,279
Z,2020-07-19,5903,707,2208,280
Z,2020-07-20,6054,708,2219,280
Z,2020-07-21,6266,709,2234,281
Z,2020-07-22,6578,709,2255,283
Z,2020-07-23,6794,710,2280,284
Z,2020-07-24,7158,710,2303,284
Z,2020-07-25,7396,713,2330,284
Z,2020-07-26,7702,715,2355,286
Z,2020-07-27,8018,716,2398,287
Z,2020-07-28,8305,721,2429,287
Z,2020-07-29,8537,723,2463,290
Z,2020-07-30,8935,725,2498,291
Z,2020-07-31,9351,729,2541,292
Z,2020-08-01,10368,731,2588,294
Z,2020-08-02,10852,734,2608,297
Z,2020-08-03,11196,738,2648,299
Z,2020-08-04,11591,743,2689,300
Z,2020-08-05,11894,744,2727,301
Z,2020-08-06,12397,752,2766,302
Z,2020-08-07,12879,759,2803,305
Z,2020-08-08,13421,773,2829,306
Z,2020-08-09,13705,778,2852,308
Z,2020-08-10,14100,785,2886,309
Z,2020-08-11,14294,797,2912,309
Z,2020-08-12,14646,807,2958,311
Z,2020-08-13,15072,812,2995,314
Z,2020-08-14,15547,822,3033,318
Z,2020-08-15,15939,825,3059,320
Z,2020-08-16,16231,829,3077,323
Z,2020-08-17,16491,835,3104,324
Z,2020-08-18,16850,850,3139,325
Z,2020-08-19,17103,861,3169,328
Z,2020-08-20,17381,865,3204,328
Z,2020-08-21,17595,875,3239,329
Z,2020-08-22,17914,883,3264,330
Z,2020-08-23,18067,891,3282,331
Z,2020-08-24,18156,893,3311,335
Z,2020-08-25,18373,901,3344,337
Z,2020-08-26,18571,903,3365,337
Z,2020-08-27,18704,912,3406,337
Z,2020-08-28,18908,914,3436,339
Z,2020-08-29,19081,915,3454,340
Z,2020-08-30,19218,921,3471,342
Z,2020-08-31,19379,927,3489,344
Z,2020-09-01,19578,937,3512,346
Z,2020-09-02,19736,943,3537,347
Z,2020-09-03,20019,947,3559,348
Z,2020-09-04,20213,949,3589,348
Z,2020-09-05,20559,951,3609,349
Z,2020-09-06,20750,954,3633,351
Z,2020-09-07,20895,959,3662,352
Z,2020-09-08,21058,969,3681,352
Z,2020-09-09,21345,975,3708,355
Z,2020-09-10,21635,980,3723,357
Z,2020-09-11,22002,985,3752,358
Z,2020-09-12,22267,993,3772,359
Z,2020-09-13,22577,998,3790,360
Z,2020-09-14,22720,1001,3813,360
Z,2020-09-15,22923,1011,3848,364
Z,2020-09-16,23134,1013,3869,364
Z,2020-09-17,23429,1019,3893,365
Z,2020-09-18,23728,1026,3924,367
Z,2020-09-19,24010,1033,3945,368
Z,2020-09-20,24194,1035,3958,369
Z,2020-09-21,24414,1038,3978,370
Z,2020-09-22,24527,1048,4010,371
Z,2020-09-23,24658,1052,4031,372
Z,2020-09-24,24955,1059,4049,372
